;lon,lat,descr
4.37454, 50.81673, "200 - RM - E De mot"
4.38245, 50.87108, "268 - RM - Lambermont"
4.38254, 50.79851, "180 - RM - Dreve de Loraine"
4.39178, 50.79962, "181 - RM - ave Roosevelt n°127 (tvd of Astel)"
4.39197, 50.79988, "182 - RM - ave Roosevelt n°220 (tvd of Astel)"
4.39306, 50.83778, "226 - RM -  Bxl Tunnel  du Cinquantenaire"
4.39307, 50.82087, "207 - RM - Bld de la plaine"
4.39751, 50.82635, "214 - RM - Bld G Jacques"
4.40523, 50.8327, "221 - RM - Bld St Michel"
3.86926, 51.00883, "375 - RM - Cooppalaan"
3.86943, 50.97237, "351 - RM - Brusselsesteenweg"
3.8773, 51.00251, "368 - RM - Noordlaan"
3.91805, 50.91258, "315 - RM - Oudenardesteenweg"
3.94531, 50.94844, "339 - RM - Gentsesteenweg"
3.95364, 50.92844, "327 - RM - A10/E40 direct cote"
4.05616, 50.90164, "307 - RM - Steenweg"
4.12949, 50.88997, "295 - RM - A10/E40 dir cote"
4.19808, 50.98519, "357 - RM - Hoge jan"
4.21482, 51.01046, "378 - RM - Bosstraat"
4.23401, 50.87526, "277 - RM - Mobile Autoroute Bruxelles Namur, Rosières (Samy)"
4.28734, 50.88452, "286 - RM - Ring Ext"
4.3166, 51.0044, "369- RM - A12 - dir anvers"
4.3167, 50.88288, "284 - RM - Bld de l'exposition"
4.32858, 50.87431, "274 - RM - Desmet Deneyer"
4.33242, 50.89368, "300 - RM - Houba de Strooper"
4.33948, 50.91114, "313 - RM - Ring int"
4.35757, 50.87629, "278 - RM - Av de la reine"
4.37599, 50.88681, "289 - RM - Van praat"
4.40583, 50.91209, "314 - RM - Ro interieur"
4.18878, 51.01053, "379 - RM - Hannenstraat"
4.33499, 51.01122, "380 - RM - Londerzelsteenweg"
4.17628, 51.03107, "391 - RM - Fabriekstraat"
4.13245, 51.03486, "395 - RM - Hoogveld"
4.03831, 51.08226, "414 - RM - N47"
4.36052, 51.08805, "418 - RM - A12 - dir bxl"
4.38225, 51.09652, "424 - RM - Kerkofstraat"
4.16008, 51.18314, "463 - RM - Klapperbeekstraat"
4.23666, 51.18498, "465 - RM - Zandstraat"
4.32713, 51.19629, "474 - RM - Kruibekesteenweg"
4.38105, 51.19864, "476 - RM - Ring anvers"
4.33099, 51.19885, "477 - RM - Heirbaan"
4.19625, 51.21692, "500 - RM - Kerkstraat"
4.28539, 51.22015, "503 - RM - Grote baan"
4.06253, 51.22768, "509 - RM - N9"
4.26486, 51.2298, "510 - RM - Koolputstraat"
4.38503, 51.27982, "524 - RM - Noordlaan"
4.396, 51.2976, "529 - RM - A12"
4.309, 51.48057, "546 - RM - Olympilaan"
4.29998, 51.48489, "547 - RM - Guido gezelelaan"
4.52784, 50.17611, "004 - 19 Rue De Mariembourg"
4.53, 50.35014, "010 - RM - N975  - avenue de Moncheret Acoz "
4.653, 50.39291, "015 - RM - N922  - chaussée de charleroi vitrival  Astel"
4.5558, 50.45558, "025 - RM - Rue du Wainage, Lambusart"
4.44823, 50.48402, "037 - RM - N5"
4.86611, 50.71701, "143 - RM - Jodoigne - Chée de Charleroi dir. Glimes (mdma from a"
4.47175, 50.73889, "149 - RM - Ch de bxl"
4.46066, 50.75555, "163 - RM - Terhulpsesteenweg, Hoeilaart (Samy)"
4.43898, 50.76086, "165 - RM - Ring ext"
4.44174, 50.76532, "166 - RM - 50,76532 (Vinmag of Astel)"
4.98136, 50.79838, "179 - RM - Sintruidensteenweg"
4.41065, 50.81524, "196 - RM - A4/E411 dir ville"
4.40708, 50.81619, "199 - RM - Jules Cockx"
4.92605, 50.81851, "204 - RM - Aarschootsteenweg"
4.98008, 50.8186, "205 - RM - Utsenakenweg"
4.80857, 50.8213, "208 - RM - Waversesteenweg"
4.40791, 50.83973, "228 - RM - Brand Whitlocklaan"
4.93843, 50.84152, "229 - RM - Vissenakensesteenweg"
4.46896, 50.86851, "261 - RM - Mobile RO Int zav 2 (Samy)"
4.4273, 50.92191, "320 - RM - Schaarbeeklei"
4.42979, 50.90847, "308 - RM - Ro exterieur"
4.44294, 50.89224, "298 - RM - Bld de la woluwe dir tervuren"
4.44992, 50.93549, "330 - RM - Bld de la Woluwe"
4.46692, 50.87148, "271 - RM - Mobile RO int Zav 1 (Samy)"
4.48734, 50.9135, "316 - RM - Ch Haacht"
4.5077, 50.88208, "283 - RM - Ch Malines"
4.53331, 50.88537, "287 - RM - Ch de Louvain"
4.53642, 50.88625, "288 - RM - Ch de Louvain"
4.53806, 50.88722, "290 - RM - N 50 - Kortenberg -Mechelensteenweeg"
4.55018, 50.88952, "293 - RM - Ch de Louvain"
4.64333, 50.89641, "302 - RM - Heidenstraat"
4.71853, 50.88985, "294 - RM - Enmeilaan"
4.75464, 50.92295, "322 - RM - Rootselarsebaan"
4.764, 50.92052, "319 - RM - Kortreiksebaan"
4.80804, 50.92371, "323 - RM - Gobbelsrode"
4.8542, 50.92432, "324 - RM - Aarschootsesteenweg"
4.88213, 50.87405, "273 - RM - Tienenstesteenweg"
4.88333, 50.90944, "310 - RM - Leuvensesteenweg"
4.93222, 50.93055, "328 - RM - Diestesteenweg"
4.44652, 50.94359, "337 - RM - Bld de la Woluwe"
4.45444, 51.00851, "374 - RM - E19 - dir bxl"
4.47511, 51.00986, "377 - RM - Brusselsesteenweg"
4.47065, 51.0246, "386 - RM- -Av reine astrid"
4.45515, 51.03473, "393 - RM - Battelstesteenweg"
4.55466, 51.10967, "432 - RM - Oudeliersebaan"
4.4871, 51.18349, "464 - RM - Bouchoutsesteenweg"
4.46494, 51.19903, "479 - RM - Unitaslaan"
4.46917, 51.20889, "491 - RM -  N 116  - Deurne  N° 204"
4.4125, 51.21083, "495 - RM - Antwerpen   Van Eyklei  N°  184"
4.41694, 51.2125, "499 - RM -  Antwerpen Quinten Matsiplei  N° 33"
4.4649, 51.22691, "507 - RM - Snellingstraat"
4.47946, 51.24071, "516 - RM - Metropoolstraat"
4.48639, 51.42513, "543 - RM - Antwerpsesteenweg"
4.47472, 51.45073, "544 - RM - Spijker"
4.47658, 51.46551, "545 - RM - N117"
4.58222, 51.5073, "548 - RM - 46 Rucphenseweg"
4.44799, 51.54954, "551 - RM - A17 Zuid Hollandweg"
