;lon,lat,descr
-6.47622, 39.90575, "Num 48587"
-3.47564, 39.91016, "Num 3241"
-5.56126, 39.9172, "Num 48591"
-4.114, 39.93352, "Num 48974"
-6.54958, 39.9998, "Num 48586"
-5.84909, 40.02524, "Num 48588"
-2.15285, 40.03619, "Num 47864"
-3.64483, 40.0687, "Num 47948"
-0.76942, 40.12404, "Num 47846"
-4.224, 40.12551, "Num 48583"
-0.91057, 40.19327, "Num 47845"
-3.79608, 40.19394, "Num 3285"
0.19215, 40.22121, "Num 22141"
0.19171, 40.22141, "Num 22142"
-4.00886, 40.2733, "Num 47946"
-3.66755, 40.29753, "Num 3300"
-3.77006, 40.30013, "Num 3627"
-3.73883, 40.30223, "Num 3295"
-3.91284, 40.30407, "Num 3294"
-3.69173, 40.30778, "Num 3292"
-3.49396, 40.31167, "Num 47930"
-3.69212, 40.31556, "Num 3291"
-3.51574, 40.32203, "Num 3290"
-1.11698, 40.33361, "Num 47844"
-3.60989, 40.33867, "Num 3299"
-3.65557, 40.3432, "Num 3308"
-3.54343, 40.34608, "Num 3289"
-3.54587, 40.34814, "Num 47929"
-3.63466, 40.35266, "Num 3628"
-3.42472, 40.35338, "Num 47928"
-3.81451, 40.36065, "Num 3293"
-3.7008, 40.36371, "Num 3296"
-3.8274, 40.38728, "Num 3297"
-4.48823, 40.40881, "Num 48582"
-3.94503, 40.41471, "Num 47945"
-3.6592, 40.41671, "Num 3305"
-3.73462, 40.42745, "Num 3307"
-3.5373, 40.44716, "Num 3288"
-3.66783, 40.45927, "Num 3625"
-3.62411, 40.46335, "Num 3621"
0.41674, 40.46982, "Num 47837"
-3.73082, 40.47276, "Num 22216"
-3.74446, 40.47437, "Num 22214"
-3.67429, 40.47957, "Num 3306"
-3.85556, 40.48224, "Num 22213"
-3.86146, 40.4842, "Num 3619"
-3.57868, 40.48589, "Num 3301"
-3.73838, 40.49082, "Num 3298"
-3.56947, 40.49266, "Num 3302"
-3.87741, 40.50733, "Num 3440"
0.44961, 40.52249, "Num 47836"
-3.5169, 40.52858, "Num 27770"
-3.69442, 40.53681, "Num 3303"
-3.28341, 40.53734, "Num 22210"
0.50817, 40.54437, "Num 3940"
-3.9631, 40.55641, "Num 47939"
-4.26118, 40.55849, "Num 48581"
-3.71347, 40.56072, "Num 3304"
-3.58777, 40.57034, "Num 3286"
-3.06324, 40.58516, "Num 47923"
-3.58257, 40.59278, "Num 3439"
0.56026, 40.59931, "Num 47835"
-3.17733, 40.62709, "Num 3227"
-4.73451, 40.64391, "Num 48580"
-3.97673, 40.66752, "Num 47940"
-3.09709, 40.6785, "Num 47925"
