;lon,lat,descr
3.71425, 51.6422, "[ZL][WESTENSCHOUWEN-001]Oosterscheldekering ( N51.6422 E3.71425 ) "
4.3044, 51.30307, "[AW][ANTWERPEN-036]R 2 ( N51.30307 E4.3044 ) "
4.33368, 51.31319, "[AW][STABROEK-001]R2 ( N51.31319 E4.33368 ) "
4.38876, 52.05723, "[ZH][DENHAAG-008]A12 ( N52.05723 E4.38876 ) "
4.40625, 50.68474, "[WB][WATERLOO-002]R0 ( N50.68474 E4.40625 ) "
4.41306, 50.69278, "[WB][WATERLOO-003]Ring Oost rond Brussel ( N50.69278 E4.41306 ) "
4.41327, 50.69343, "[WB][WATERLOO-001]R0 ( N50.69343 E4.41327 ) "
4.53661, 51.91281, "[ZH][ROTTERDAM-046]A16 ( N51.91281 E4.53661 ) "
4.53693, 51.92264, "[ZH][ROTTERDAM-015]A16 ( N51.92264 E4.53693 ) "
4.56303, 51.88848, "[ZH][ROTTERDAM-014]A16 ( N51.88848 E4.56303 ) "
4.57615, 52.12242, "[ZH][ALPHENADRIJN-020]N11 ( N52.12242 E4.57615 ) "
4.6503, 51.78549, "[ZH][DORDRECHT-035]A16 ( N51.78549 E4.6503 ) "
4.84252, 52.30481, "[NH][AMSTELVEEN-003]A9 ( N52.30481 E4.84252 ) "
4.88199, 52.29621, "[NH][AMSTELVEEN-001]A9 ( N52.29621 E4.88199 ) "
4.90119, 52.29166, "[NH][AMSTERDAM-007]A9 ( N52.29166 E4.90119 ) "
4.91727, 52.28773, "[NH][AMSTERDAM-006]A9 ( N52.28773 E4.91727 ) "
4.96102, 52.34947, "[NH][AMSTERDAM-026]A10 (binnenring) ( N52.34947 E4.96102 ) "
4.96121, 52.30467, "[NH][AMSTERDAM-005]A9 ( N52.30467 E4.96121 ) "
4.96124, 52.39652, "[NH][AMSTERDAM-023]A10 Noord ( N52.39652 E4.96124 ) "
4.96682, 52.38986, "[NH][AMSTERDAM-022]A10 Ring Noord ( N52.38986 E4.96682 ) "
4.99936, 52.31916, "[NH][AMSTERDAM-003]a9 ( N52.31916 E4.99936 ) "
5.05623, 51.65876, "[NB][KAATSHEUVEL-002]N261 ( N51.65876 E5.05623 ) "
5.05734, 51.66916, "[NB][KAATSHEUVEL-003]N261 ( N51.66916 E5.05734 ) "
5.06036, 51.64028, "[NB][LOONOPZAND-002]N261 ( N51.64028 E5.06036 ) "
5.22076, 52.24272, "[UT][BAARN-005]A1 ( N52.24272 E5.22076 ) "
6.00413, 50.85328, "[LB][HEERLEN-005]N281 ( N50.85328 E6.00413 ) "
6.60027, 53.20423, "[GR][GRONINGEN-015]Europaweg ( N53.20423 E6.60027 ) "
