;lon,lat,descr
2.73856, 50.8482, "[WV][POPERINGE-001]Europalaan ( N50.8482 E2.73856 ) "
2.73899, 50.84846, "[WV][POPERINGE-002]Europalaan ( N50.84846 E2.73899 ) "
2.85974, 50.86399, "[WV][IEPER-007]Noorderring ( N50.86399 E2.85974 ) "
2.85976, 50.86442, "[WV][IEPER-009]Noorderring ( N50.86442 E2.85976 ) "
2.85994, 50.86435, "[WV][IEPER-008]Noorderring ( N50.86435 E2.85994 ) "
2.86011, 50.86414, "[WV][IEPER-005]Veurnseweg ( N50.86414 E2.86011 ) "
2.88748, 50.87099, "[WV][IEPER-004]Noorderring ( N50.87099 E2.88748 ) "
2.88808, 50.87124, "[WV][IEPER-003]Noorderring ( N50.87124 E2.88808 ) "
2.91777, 50.87519, "[WV][IEPER-002]Noorderring ( N50.87519 E2.91777 ) "
2.9182, 50.87569, "[WV][IEPER-010]Noorderring ( N50.87569 E2.9182 ) "
3.09791, 50.94647, "[WV][ROESELARE-018]Ring ( N50.94647 E3.09791 ) "
3.09827, 50.94608, "[WV][ROESELARE-013]Ring ( N50.94608 E3.09827 ) "
3.09857, 50.95162, "[WV][ROESELARE-008]Diksmuidsesteenweg ( N50.95162 E3.09857 ) "
3.09889, 50.95192, "[WV][ROESELARE-009]Ring ( N50.95192 E3.09889 ) "
3.09912, 50.95122, "[WV][ROESELARE-015]Ring ( N50.95122 E3.09912 ) "
3.09946, 50.95154, "[WV][ROESELARE-010]Diksmuidsesteenweg ( N50.95154 E3.09946 ) "
3.10086, 50.96138, "[WV][ROESELARE-007]Rijksweg ( N50.96138 E3.10086 ) "
3.10118, 50.96068, "[WV][ROESELARE-006]Rijksweg ( N50.96068 E3.10118 ) "
3.10145, 50.93388, "[WV][ROESELARE-012]Rijksweg ( N50.93388 E3.10145 ) "
3.10198, 50.93352, "[WV][ROESELARE-011]Rijksweg ( N50.93352 E3.10198 ) "
3.10586, 50.92786, "[WV][ROESELARE-020]R32 ( N50.92786 E3.10586 ) "
3.10672, 50.92771, "[WV][ROESELARE-019]R32 ( N50.92771 E3.10672 ) "
3.13208, 50.981, "[WV][BEVEREN-ROESELARE-003]R32 ( N50.981 E3.13208 ) "
3.13272, 50.98127, "[WV][BEVEREN-ROESELARE-004]R32 ( N50.98127 E3.13272 ) "
