;lon,lat,descr
3.21912, 50.7969, "062 - 120 Km/h - A17/E403"
3.24382, 50.78219, "063 - 120 Km/h - A17/E403"
3.26763, 50.77167, "050 - 120 Km/h - A17/E403"
3.35225, 51.1134, "266 - 120 Km/h - A 10 E 40 direction Ostende"
3.40756, 50.85935, "148 - 120 Km/h - E 17 Courtrai Gand"
3.40764, 50.85962, "149 - 120 Km/h - E 17 Dir  Mouscron"
3.43716, 50.86927, "155 - 120 Km/h - E 17 Dir Moucron"
3.45414, 50.87701, "161 - 120 Km/h - E 17 Dir Gand "
3.45696, 50.87892, "162 - 120 Km/h - E 17 Dir Anvers"
3.50309, 50.92269, "172 - 120 Km/h - E 17 Dir Moucron"
3.54966, 51.05489, "192 - 120 Km/h - E 40,vers la cote "
3.5525, 50.94944, "179 - 120 Km/h - E 17n Dir Courtai"
3.76192, 51.00124, "186 - 120 Km/h - E 40 Dir Bruxelles"
3.80146, 51.04648, "189 - 120 Km/h - E 17 Dir Gand"
3.83721, 51.05359, "190 - 120 Km/h - E 17 Dir Gand"
3.87143, 51.06339, "193 - 120 Km/h - E 17 Dir Gand"
3.89072, 51.06819, "194 - 120 Km/h - E 17 Dir Anvers"
3.90104, 50.94629, "176 - 120 Km/h - E 40 Dir Cote"
4.52803, 50.75362, "241 - 120 Km/h - A4/E411 niveau Overijse - Dir Namur"
4.28973, 50.76094, "069 - 120 km/h - E19 Nivelles -> Bruxelles"
4.49389, 50.78528, "036 - 120 km/h - E411 --> Namur"
4.48415, 50.83571, "079 - 120 km/h - RO Wezembeek-Oppem - sens Waterloo --> BXL"
4.28216, 50.83608, "267 - 120 Km/h - Ring exterieur"
4.47926, 50.8496, "029 - 120 km/h - Bruxelles --> Aéroport"
4.47876, 50.85, "240 - 120 Km/h - R0 derrière  panneau sortie - vinmag of Astel"
4.42547, 50.85764, "146 - 120 Km/h - E 40 dir Liege "
4.56069, 50.86881, "153 - 120 Km/h - E 40 vers Bruxelles  "
4.50006, 50.86926, "154 - 120 Km/h - E 40"
4.19667, 50.88111, "163 - 120 Km/h - E 40 dir la cote"
4.23219, 50.883, "164 - 120 Km/h - E 40  vers la Cote"
4.28551, 50.88348, "077 - 120 km/h - Bruxelles - Ring --> Grand Biggard"
4.13233, 50.88896, "165 - 120 Km/h - E 40 Dir Bruxelles"
4.44544, 50.89689, "083 - 120 km/h - Ring - Vilvoorde --> Tervuren "
4.03222, 50.91833, "171 - 120 Km/h -  E 40,nDir Bruxelles "
4.49037, 50.97012, "182 - 120 Km/h - E 19 vers Bruxelles "
4.45444, 51.00851, "188 - 120 Km/h - E 19 Dir Bruxelles "
4.45184, 51.0538, "191 - 120 Km/h - E 19 Dir Anvers"
4.44498, 51.06948, "196 - 120 Km/h - E 19 Dir Anvers"
4.44164, 51.08958, "195 - 120 Km/h - E 19 Dir Anvers"
4.43044, 51.11798, "197 - 120 Km/h - E 19  Dir Anvers"
4.0906, 51.12884, "198 - 120 Km/h - E 17  Dir Anvers"
4.4299, 51.13156, "199 - 120 Km/h - E 19  Dir Anvers"
4.19034, 51.14518, "200 - 120 Km/h - E 17 Dir Anvers"
4.21553, 51.15395, "202 - 120 Km/h - E 17  Dir Bruxelles "
4.23299, 51.15931, "203 - 120 Km/h - E 17 Dir Anvers"
4.41354, 51.16578, "205 - 120 Km/h - E 19 Dir Anvers "
4.25209, 51.1688, "206 - 120 Km/h - E 17 Dir Anvers "
4.41551, 51.18605, "207 - 120 Km/h - E 19 Dir Bruxelles "
4.3268, 51.20485, "210 - 120 Km/h - E 19 Dir Bruxelles "
4.33646, 51.20869, "212 - 120 Km/h - E 17 Dir Moucron"
4.48446, 51.21057, "213 - 120 Km/h - E 313 "
4.34329, 51.21112, "214 - 120 Km/h - E 17 Dir Anvers"
4.47136, 51.2112, "215 - 120 Km/h - E 313 "
4.4507, 51.26766, "217 - 120 Km/h - E 19 Dir Anvers "
5.3703, 49.88697, "020 - 120 km/h - E411"
5.18555, 50.06996, "005 - 120 km/h - E411 - Tellin -> Bruxelles"
5.17939, 50.07449, "006 - 120 km/h - E411 - Tellin -> Bruxelles"
5.17032, 50.08151, "007 - 120 km/h - E411 - Tellin -> Bruxelles"
5.15711, 50.09072, "014 - 120 km/h - E411 - Tellin -> Luxembourg"
5.07918, 50.14344, "008 - 120 km/h - E411 -> Bruxelles"
5.04897, 50.25248, "013 - 120 km/h - E411 - Tellin -> Luxembourg"
