X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
15.2191800,52.7826800,5,50,0,0
15.2210600,52.7313900,5,50,0,0
15.3108900,52.6715000,5,50,0,0
15.3159700,52.6701000,5,50,0,0
15.5076088,52.2502584,5,50,0,0
15.5129500,52.2508600,5,50,0,0
15.5185900,52.8709900,5,50,0,0
15.5469400,52.3380900,5,50,0,0
15.5498800,52.2555600,5,50,0,0
15.5519400,52.8859600,5,50,0,0
15.5544600,52.8870500,5,50,0,0
15.5718600,52.4358000,5,50,0,0
15.7439700,51.6868200,5,50,0,0
16.1184800,52.3953100,5,50,0,0
16.1745200,54.1869600,5,50,0,0
16.1769300,51.1924600,5,50,0,0
16.1889200,54.1901800,5,50,0,0
16.1895600,54.1821400,5,50,0,0
16.2008300,54.1746300,5,50,0,0
16.2048000,51.2019400,5,50,0,0
16.2051900,54.2053500,5,50,0,0
16.2074900,51.2103700,5,50,0,0
16.2423100,50.4316900,5,50,0,0
16.2845900,51.2440600,5,50,0,0
16.3218400,50.8580400,5,50,0,0
16.3827200,52.4969000,5,50,0,0
16.5412000,52.0363200,5,50,0,0
16.9196300,52.4313700,5,50,0,0
16.9383500,52.4109200,5,50,0,0
16.5653200,51.9209400,5,50,0,0
16.6578400,50.4283800,5,50,0,0
16.7436000,53.0961600,5,50,0,0
16.8889000,52.4096800,5,50,0,0
16.9097800,52.3859200,5,50,0,0
16.9521900,54.4476200,5,50,0,0
16.9653300,52.7589600,5,50,0,0
16.9814000,54.4465500,5,50,0,0
16.9930900,54.4413300,5,50,0,0
16.9971400,54.4386900,5,50,0,0
16.9987800,51.0611400,5,50,0,0
17.0185400,51.0849600,5,50,0,0
17.0520600,52.2953200,5,50,0,0
17.0963400,52.2541800,5,50,0,0
17.1107700,52.4052000,5,50,0,0
17.1248700,54.4692800,5,50,0,0
17.1653900,51.1684200,5,50,0,0
17.1920400,53.1600700,5,50,0,0
17.2000300,51.1807500,5,50,0,0
17.2168900,52.4004800,5,50,0,0
17.2262100,51.1872400,5,50,0,0
17.2393700,51.1915600,5,50,0,0
17.2801200,51.1948300,5,50,0,0
17.3833300,51.2129700,5,50,0,0
17.4853200,54.4743100,5,50,0,0
14.2350100,53.9052700,5,50,0,0
14.2777100,53.9015600,5,50,0,0
14.4100800,53.9185300,5,50,0,0
14.4340100,53.9119100,5,50,0,0
14.4383400,53.9279500,5,50,0,0
14.4511700,53.9286200,5,50,0,0
14.4950100,53.4228600,5,50,0,0
14.5617800,53.4234600,5,50,0,0
14.5704700,53.4148100,5,50,0,0
14.6217000,53.3891000,5,50,0,0
14.6286000,53.3867700,5,50,0,0
14.6403700,52.5803200,5,50,0,0
14.6525000,52.6006700,5,50,0,0
14.6536100,52.4925200,5,50,0,0
14.6597600,52.4306700,5,50,0,0
14.6739000,52.6522800,5,50,0,0
14.6888100,52.6939800,5,50,0,0
14.7155000,51.9061500,5,50,0,0
14.7398100,53.3627100,5,50,0,0
14.7470400,53.8455000,5,50,0,0
14.7743600,53.7862700,5,50,0,0
14.7817200,52.6435200,5,50,0,0
14.7824500,53.9626800,5,50,0,0
14.7963500,53.5560500,5,50,0,0
14.8112600,53.6792700,5,50,0,0
14.8146200,53.6704100,5,50,0,0
14.8222900,53.6109200,5,50,0,0
14.8246900,53.6008900,5,50,0,0
14.8401800,53.1856600,5,50,0,0
14.8538600,51.9759500,5,50,0,0
14.8887200,53.1259800,5,50,0,0
14.9010300,53.0729500,5,50,0,0
14.9410900,52.6759100,5,50,0,0
14.9529200,52.9439700,5,50,0,0
14.9714300,52.9102100,5,50,0,0
14.9764000,52.9782200,5,50,0,0
14.9999500,52.8895800,5,50,0,0
15.0013400,54.0785900,5,50,0,0
15.0490900,52.3158600,5,50,0,0
15.0849300,53.3208000,5,50,0,0
15.0909500,52.0171000,5,50,0,0
15.0987700,51.6319000,5,50,0,0
15.1217300,52.7794100,5,50,0,0
15.1446300,52.7557100,5,50,0,0
15.1557200,52.7502000,5,50,0,0
15.1791700,52.7181400,5,50,0,0
15.1830000,51.7437300,5,50,0,0
15.1912000,52.7395400,5,50,0,0
15.2085700,52.7634700,5,50,0,0
15.2303100,51.7920400,5,50,0,0
15.2426200,52.7253400,5,50,0,0
15.2481200,52.9771000,5,50,0,0
15.2540000,51.8006400,5,50,0,0
15.2578700,52.7098000,5,50,0,0
15.2806300,52.7663300,5,50,0,0
15.2853800,51.2247400,5,50,0,0
15.2912000,52.7326500,5,50,0,0
15.3470900,52.6632800,5,50,0,0
15.3605700,51.8647000,5,50,0,0
15.3644000,52.2757500,5,50,0,0
15.3681100,52.6562500,5,50,0,0
15.3948500,52.8187400,5,50,0,0
15.4620400,52.8372900,5,50,0,0
15.4624900,52.8392700,5,50,0,0
15.4737600,51.9296600,5,50,0,0
15.4844700,51.9393800,5,50,0,0
15.4881400,51.9625200,5,50,0,0
15.5377300,51.9270500,5,50,0,0
15.5445200,53.2618400,5,50,0,0
15.5497600,51.9224900,5,50,0,0
15.5591200,54.1438900,5,50,0,0
15.5866300,51.9067000,5,50,0,0
15.5876100,52.2580200,5,50,0,0
15.5915300,52.1223200,5,50,0,0
15.6517700,51.8754500,5,50,0,0
15.6648600,52.9099600,5,50,0,0
15.7028800,51.8470000,5,50,0,0
15.7158100,53.8877500,5,50,0,0
15.7243400,51.7756300,5,50,0,0
15.7389400,50.9095100,5,50,0,0
15.7626800,51.2700800,5,50,0,0
15.8227400,54.0141500,5,50,0,0
15.8654200,52.6269400,5,50,0,0
15.8868000,54.0447300,5,50,0,0
15.8870800,52.6040500,5,50,0,0
15.8999800,52.5653800,5,50,0,0
15.9523100,52.5660700,5,50,0,0
15.9623900,52.5644400,5,50,0,0
16.0349100,51.5911400,5,50,0,0
16.0713000,53.8570200,5,50,0,0
16.0864500,52.5550200,5,50,0,0
16.0896400,52.1079100,5,50,0,0
16.0964800,53.7558700,5,50,0,0
16.1022800,52.1100100,5,50,0,0
16.1054400,51.6794000,5,50,0,0
16.1094900,54.2758100,5,50,0,0
16.1559200,51.2872100,5,50,0,0
16.1618300,54.1913500,5,50,0,0
16.1699000,51.9999400,5,50,0,0
16.1758100,51.1001400,5,50,0,0
16.1842200,51.3939700,5,50,0,0
16.1963500,52.1321700,5,50,0,0
16.2010400,51.3897700,5,50,0,0
16.2077000,51.0565700,5,50,0,0
16.2081300,52.1336200,5,50,0,0
16.2087500,51.4070900,5,50,0,0
16.2169500,51.2124100,5,50,0,0
16.2408900,50.7619600,5,50,0,0
16.2519600,50.8045200,5,50,0,0
16.2663900,50.8108100,5,50,0,0
16.2728800,50.7676400,5,50,0,0
16.2756900,50.7588400,5,50,0,0
16.2795800,50.7796400,5,50,0,0
16.2885600,50.7954600,5,50,0,0
16.2886100,52.1483000,5,50,0,0
16.2944300,50.8069600,5,50,0,0
16.2990900,50.7766000,5,50,0,0
16.3045300,50.8309100,5,50,0,0
16.3109500,50.7682500,5,50,0,0
16.3202700,50.7420000,5,50,0,0
16.3217000,50.7310300,5,50,0,0
16.3241800,50.7644100,5,50,0,0
16.3342800,50.7224800,5,50,0,0
16.3799200,52.4979300,5,50,0,0
16.4071600,50.9892300,5,50,0,0
16.4303700,50.9869500,5,50,0,0
16.4409300,50.8397200,5,50,0,0
16.4434000,50.4113700,5,50,0,0
16.5005200,50.8275500,5,50,0,0
16.5290600,50.8552200,5,50,0,0
16.5429500,51.8337500,5,50,0,0
16.5452100,51.9544200,5,50,0,0
16.5452400,50.8569100,5,50,0,0
16.5728900,51.8667600,5,50,0,0
16.5760800,50.8753900,5,50,0,0
16.5769300,51.1634300,5,50,0,0
16.5862900,50.8811600,5,50,0,0
16.5951000,52.5931800,5,50,0,0
16.6068100,51.8507500,5,50,0,0
16.6235800,50.8982100,5,50,0,0
16.6339500,52.4572100,5,50,0,0
16.6560900,51.1641800,5,50,0,0
16.6578600,53.7163500,5,50,0,0
16.6672100,54.3481000,5,50,0,0
16.6697800,52.4586300,5,50,0,0
16.6731000,53.7293900,5,50,0,0
16.6818800,50.9223600,5,50,0,0
16.6850200,51.1617300,5,50,0,0
16.7039400,51.0640900,5,50,0,0
16.7258400,51.1599500,5,50,0,0
16.7466800,51.7077900,5,50,0,0
16.7503200,50.5069200,5,50,0,0
16.7522200,53.1368300,5,50,0,0
16.7547600,53.1888200,5,50,0,0
16.7588600,53.1630800,5,50,0,0
16.7609000,50.9529600,5,50,0,0
16.7688600,51.7036400,5,50,0,0
16.7800500,53.0338300,5,50,0,0
16.7822300,50.9554500,5,50,0,0
16.8153600,51.6646000,5,50,0,0
16.8248200,53.4277600,5,50,0,0
16.8315200,52.6439200,5,50,0,0
16.8352300,50.9883800,5,50,0,0
16.8405000,52.3520200,5,50,0,0
16.8425300,52.4970100,5,50,0,0
16.8476400,52.4305400,5,50,0,0
16.8495800,52.3656900,5,50,0,0
16.8558100,52.4274300,5,50,0,0
16.8564500,51.6207200,5,50,0,0
16.8652300,51.5912300,5,50,0,0
16.8657200,52.3722600,5,50,0,0
16.8706500,52.6808200,5,50,0,0
16.8707600,52.3756800,5,50,0,0
16.8731100,52.4212700,5,50,0,0
16.8794800,54.3025200,5,50,0,0
16.8818900,52.4220800,5,50,0,0
16.9068100,52.3592400,5,50,0,0
16.9072200,51.6362100,5,50,0,0
16.9101400,52.4155500,5,50,0,0
16.9141600,51.4631000,5,50,0,0
16.9142300,52.3681900,5,50,0,0
16.9162400,52.4132000,5,50,0,0
16.9199600,52.4295600,5,50,0,0
16.9201500,52.3838600,5,50,0,0
16.9204100,52.4208100,5,50,0,0
16.9206200,52.4428700,5,50,0,0
16.9303200,51.1486600,5,50,0,0
16.9312700,52.3893500,5,50,0,0
16.9354200,52.4170400,5,50,0,0
16.9406600,51.6461600,5,50,0,0
16.9421700,52.3800500,5,50,0,0
16.9435500,52.5364900,5,50,0,0
16.9461300,51.0411100,5,50,0,0
16.9470300,52.9481200,5,50,0,0
16.9492400,52.3782500,5,50,0,0
16.9496500,52.4106100,5,50,0,0
17.0657200,50.9130700,5,50,0,0
17.0692500,50.7787300,5,50,0,0
17.0702600,50.7849700,5,50,0,0
17.0722300,52.4313700,5,50,0,0
17.0752400,51.1178900,5,50,0,0
17.0754200,51.3048900,5,50,0,0
17.0778400,51.1270300,5,50,0,0
17.0798100,51.1349100,5,50,0,0
17.0815200,51.1317200,5,50,0,0
17.0834100,52.4212400,5,50,0,0
17.0958700,52.4533200,5,50,0,0
17.0966100,52.6148500,5,50,0,0
17.0983400,54.2458600,5,50,0,0
17.1200200,51.1499700,5,50,0,0
17.1438300,52.6376200,5,50,0,0
17.1500400,52.6579100,5,50,0,0
17.1671000,52.8031400,5,50,0,0
17.1711600,52.7905200,5,50,0,0
17.1773500,51.1747100,5,50,0,0
17.1851700,51.1765800,5,50,0,0
17.4627600,52.3505900,5,50,0,0
17.4700800,52.0112300,5,50,0,0
17.4722400,52.3484900,5,50,0,0
17.4790800,52.3463100,5,50,0,0
8.5458500,49.3186800,5,10,0,0
8.6380200,49.3018800,5,10,0,0
11.8776200,48.2479800,5,10,0,0
6.7455500,51.2701300,5,100,0,0
6.8603000,51.1681800,5,100,0,0
6.8931300,51.9647700,5,100,0,0
7.5170900,51.4223000,5,100,0,0
7.5509800,51.9412800,5,100,0,0
7.5968800,52.5786000,5,100,0,0
7.7159100,50.5057000,5,100,0,0
7.7974100,52.1941500,5,100,0,0
7.8480600,51.7744400,5,100,0,0
7.9055600,51.9261100,5,100,0,0
7.9793800,50.4122600,5,100,0,0
7.9970000,50.4098500,5,100,0,0
8.0208300,51.9658300,5,100,0,0
8.0369400,52.0258300,5,100,0,0
8.0436000,51.9130200,5,100,0,0
8.2025000,50.0125500,5,100,0,0
8.2214300,49.9490900,5,100,0,0
8.3159800,52.1963900,5,100,0,0
8.3302900,49.0334200,5,100,0,0
8.3943600,49.5479100,5,100,0,0
8.3977200,49.5684500,5,100,0,0
8.4775300,53.4371000,5,100,0,0
8.5720000,51.5875800,5,100,0,0
10.0815200,54.3128300,5,100,0,0
10.0962000,54.3560400,5,100,0,0
10.1576000,51.8579800,5,100,0,0
10.1897500,53.5677500,5,100,0,0
10.2908800,50.9950600,5,100,0,0
10.4051100,53.2011400,5,100,0,0
10.4056600,50.9611400,5,100,0,0
10.4094100,53.5602600,5,100,0,0
10.4442600,53.2525200,5,100,0,0
10.5084700,52.5611000,5,100,0,0
11.0689500,49.3383100,5,100,0,0
11.1050200,49.2410700,5,100,0,0
11.1176100,49.4024400,5,100,0,0
11.4513900,48.2044400,5,100,0,0
11.6450000,48.0870000,5,100,0,0
11.6549300,47.8196300,5,100,0,0
11.7327300,48.1427100,5,100,0,0
11.8108300,53.0391700,5,100,0,0
11.8466000,50.8805500,5,100,0,0
11.8822200,47.8333300,5,100,0,0
6.1894300,50.8067900,5,100,0,0
6.8036300,51.4438200,5,100,0,0
6.8891600,50.9964300,5,100,0,0
6.9066500,50.0504100,5,100,0,0
7.0112400,49.2823400,5,100,0,0
7.0296700,49.2938200,5,100,0,0
7.0346000,50.9520000,5,100,0,0
7.0399000,50.9528000,5,100,0,0
7.0576800,50.9073700,5,100,0,0
7.0846100,50.8980900,5,100,0,0
8.6376800,49.3987200,5,100,0,0
8.6458900,50.1330000,5,100,0,0
8.7455700,52.2022300,5,100,0,0
8.7897200,48.5837000,5,100,0,0
8.7974700,48.5875500,5,100,0,0
8.9295000,49.2261000,5,100,0,0
9.0892100,48.7309400,5,100,0,0
9.1083300,49.1933300,5,100,0,0
9.2123800,49.1847300,5,100,0,0
9.2437800,49.0067200,5,100,0,0
11.3460200,51.1233200,5,100,0,0
11.3491300,51.1149500,5,100,0,0
11.3692000,51.1116000,5,100,0,0
11.5694800,51.6509200,5,100,0,0
11.8152700,50.6588100,5,100,0,0
12.4552700,53.1352500,5,100,0,0
12.9852800,50.8563900,5,100,0,0
13.1980300,52.7003500,5,100,0,0
13.1997300,52.6980900,5,100,0,0
13.4317400,52.6226700,5,100,0,0
12.4597500,53.1296300,5,120,0,0
13.5836500,52.7861200,5,120,0,0
13.6815400,52.8661800,5,120,0,0
7.6798500,50.4471800,5,130,0,0
8.3627700,50.0804600,5,130,0,0
12.7134900,52.9235600,5,130,0,0
12.7890800,52.8376800,5,130,0,0
12.8723200,52.7507500,5,130,0,0
13.7520900,51.1362100,5,130,0,0
8.6415800,49.3011800,5,20,0,0
7.3213800,50.3160600,5,120,0,0
7.8476500,48.3981700,5,120,0,0
8.4290200,52.9146100,5,120,0,0
8.5682500,49.4503900,5,120,0,0
8.7339000,53.1465000,5,120,0,0
8.7892500,51.7839900,5,100,0,0
8.8492500,53.1152900,5,120,0,0
8.9221400,53.0788100,5,120,0,0
9.1239900,53.0692900,5,120,0,0
9.7888300,54.3123500,5,120,0,0
6.9583600,51.1635200,5,120,0,0
7.2503700,50.7055700,5,120,0,0
7.3196100,50.6621800,5,120,0,0
9.9623200,54.1646300,5,120,0,0
10.3077100,53.8449900,5,120,0,0
