;lon,lat,descr
6.08144, 51.94315, "[GD][ZEVENAAR-002]Oprit 29 ( N51.94315 E6.08144 ) "
6.19112, 52.58105, "[OV][DEN_HULST-001]A28 ( N52.58105 E6.19112 ) "
5.3651, 52.12877, "[UT][AMERSFOORT-034]A28 Oprit 5 ( N52.12877 E5.3651 ) "
4.98615, 52.17804, "[UT][BREUKELEN-002]A2 ( N52.17804 E4.98615 ) "
5.35424, 52.06568, "[UT][MAARN-001]A12 ( N52.06568 E5.35424 ) "
5.0288, 52.12043, "[UT][MAARSSENBROEK-002]Oprit ( N52.12043 E5.0288 ) "
5.30665, 52.1162, "[UT][SOESTERBERG-002]A28 ( N52.1162 E5.30665 ) "
4.50689, 52.04526, "[ZH][ZOETERMEER-005]Rijksweg A12 ( N52.04526 E4.50689 ) "
