;lon,lat,descr
4.1122, 50.9127, "[VB][HEKELGEM-004]Brusselbaan ( N50.9127 E4.1122 ) "
4.18768, 50.91827, "[VB][ASSE-005]Nervierstraat  ( N50.91827 E4.18768 ) "
4.17449, 50.92094, "[VB][ASSE-003]Gentsesteenweg  ( N50.92094 E4.17449 ) "
4.11787, 51.03605, "[OV][DENDERMONDE-012]Mechelsesteenweg ( N51.03605 E4.11787 ) "
4.11943, 51.03608, "[OV][DENDERMONDE-009]Mechelsesteenweg ( N51.03608 E4.11943 ) "
3.73031, 51.03836, "[OV][GENT-013]Sint Lievenslaan ( N51.03836 E3.73031 ) "
3.73047, 51.03847, "[OV][GENT-014]Sint-Lievenslaan ( N51.03847 E3.73047 ) "
3.7307, 51.08337, "[OV][WONDELGEM-003]New-Orleansstraat ( N51.08337 E3.7307 ) "
4.16018, 51.1585, "[OV][SINT-NIKLAAS-012]Prins Boudewijnlaan ( N51.1585 E4.16018 ) "
3.56911, 51.18315, "[OV][EEKLO-001]Stationsstraat ( N51.18315 E3.56911 ) "
4.39389, 51.18806, "[AW][ANTWERPEN-034]Jan Van Rijswijcklaan ( N51.18806 E4.39389 ) "
4.60701, 50.44304, "[NM][TAMINES-001]Rue de Velaine ( N50.44304 E4.60701 ) "
4.61782, 50.52317, "[HG][SOMBREFFE-001]Chaussée de Charleroi ( N50.52317 E4.61782 ) "
5.01861, 50.62315, "[LK][WASSEIGES-001]Rue du Baron d'Obin ( N50.62315 E5.01861 ) "
4.5691, 50.6697, "[WB][OTTIGNIES-001]Avenue des Combattants ( N50.6697 E4.5691 ) "
4.8843, 50.69204, "[WB][HUPPAYE-001]Rue de Fauconval ( N50.69204 E4.8843 ) "
4.96861, 50.72673, "[WB][NODUWEZ-001]Rue Louis Lambert ( N50.72673 E4.96861 ) "
4.93395, 50.7327, "[WB][PIETRAIN-001]Rue Longue ( N50.7327 E4.93395 ) "
4.39696, 50.73282, "[WB][WATERLOO-005]Chaussee de Bruxelles ( N50.73282 E4.39696 ) "
4.6874, 50.74193, "[WB][GREZ-DOICEAU-001]Chaussee de la Liberation ( N50.74193 E4.6874 ) "
4.98105, 50.74351, "[WB][HAMPTEAU-001]Rue du Moulin ( N50.74351 E4.98105 ) "
4.71262, 50.78769, "[WB][HAMME-MILLE-001]Chaussee de louvain ( N50.78769 E4.71262 ) "
4.94343, 50.78815, "[VB][BOST-005]Hannuitsesteenweg ( N50.78815 E4.94343 ) "
4.94242, 50.78925, "[VB][BOST-006]Hannuitsesteenweg ( N50.78925 E4.94242 ) "
5.06592, 50.80366, "[VB][ORSMAAL-GUSSENHOVEN-003]Sint-Truidensesteenweg ( N50.80366 E5.06592 ) "
4.43725, 50.81252, "[BG][OUDERGEM-002]Waversesteenweg ( N50.81252 E4.43725 ) "
4.95352, 50.81758, "[VB][TIENEN-019]Hamelendreef  ( N50.81758 E4.95352 ) "
4.93644, 50.81865, "[VB][TIENEN-021]Diestsesteenweg ( N50.81865 E4.93644 ) "
4.92572, 50.81931, "[VB][TIENEN-020]Aarschotsesteenweg ( N50.81931 E4.92572 ) "
4.98213, 50.8199, "[VB][OPLINTER-002]Utsenakenweg ( N50.8199 E4.98213 ) "
4.98224, 50.81992, "[VB][OPLINTER-004]Utsenakenweg ( N50.81992 E4.98224 ) "
4.99241, 50.82951, "[VB][OPLINTER-005]Neerlintersesteenweg ( N50.82951 E4.99241 ) "
4.99701, 50.83088, "[VB][OPLINTER-003]Neerlinterse Steenweg ( N50.83088 E4.99701 ) "
4.948, 50.84554, "[VB][BUNSBEEK-002]Tiensesteenweg ( N50.84554 E4.948 ) "
4.95762, 50.86587, "[VB][GLABBEEK-001]Tiensesteenweg ( N50.86587 E4.95762 ) "
4.70372, 50.868, "[VB][LEUVEN-024]Erasme Ruelensvest ( N50.868 E4.70372 ) "
4.70382, 50.86869, "[VB][LEUVEN-023]Naamsevest ( N50.86869 E4.70382 ) "
4.95946, 50.87025, "[VB][GLABBEEK-002]Tiensesteenweg ( N50.87025 E4.95946 ) "
4.71099, 50.87092, "[VB][LEUVEN-021]Geldenaaksevest ( N50.87092 E4.71099 ) "
4.71133, 50.871, "[VB][LEUVEN-025]Geldenaaksevest ( N50.871 E4.71133 ) "
4.68772, 50.87369, "[VB][LEUVEN-036]Tervuursevest ( N50.87369 E4.68772 ) "
4.68768, 50.87371, "[VB][LEUVEN-029]Tervuursevest ( N50.87371 E4.68768 ) "
4.68354, 50.87725, "[VB][LEUVEN-034]Rennes Singel ( N50.87725 E4.68354 ) "
4.71559, 50.87726, "[VB][LEUVEN-022]Tiensevest ( N50.87726 E4.71559 ) "
4.67966, 50.88385, "[VB][LEUVEN-017]Brusselsesteenweg ( N50.88385 E4.67966 ) "
4.39401, 51.18764, "[AW][ANTWERPEN-033]Jan Van Rijswijcklaan ( N51.18764 E4.39401 ) "
4.43967, 51.25488, "[AW][MERKSEM-005]Maantjessteenweg ( N51.25488 E4.43967 ) "
4.44006, 51.2552, "[AW][MERKSEM-008]Maantjessteenweg ( N51.2552 E4.44006 ) "
4.4548, 50.96155, "[VB][EPPEGEM-002]Brusselsesteenweg ( N50.96155 E4.4548 ) "
4.45503, 51.17549, "[AW][MORTSEL-004]Krijgsbaan ( N51.17549 E4.45503 ) "
4.45548, 51.17555, "[AW][MORTSEL-003]Krijgsbaan ( N51.17555 E4.45548 ) "
4.47555, 51.21025, "[AW][B-DEURNE-012]Ruggeveldlaan ( N51.21025 E4.47555 ) "
4.48068, 51.21319, "[AW][B-DEURNE-009]Ruggeveldlaan ( N51.21319 E4.48068 ) "
4.48108, 51.21386, "[AW][B-DEURNE-010]Ruggeveldlaan ( N51.21386 E4.48108 ) "
4.48172, 51.21776, "[AW][B-DEURNE-011]Ruggeveldlaan ( N51.21776 E4.48172 ) "
4.49, 51.24999, "[AW][SCHOTEN-008]Churchilllaan ( N51.24999 E4.49 ) "
4.49028, 51.25014, "[AW][SCHOTEN-005]Churchilllaan ( N51.25014 E4.49028 ) "
4.49546, 51.25594, "[AW][SCHOTEN-004]Ridder Walter van Havrelaan ( N51.25594 E4.49546 ) "
4.49731, 51.2573, "[AW][SCHOTEN-003]Kopstraat ( N51.2573 E4.49731 ) "
4.56913, 51.06978, "[AW][ONZE-LIEVE-VROUW-WAVER-001]Berlaarbaan ( N51.06978 E4.56913 ) "
4.57659, 51.002, "[AW][RIJMENAM-001]Dijleweg ( N51.002 E4.57659 ) "
4.70065, 50.96949, "[VB][WERCHTER-002]Nieuwebaan ( N50.96949 E4.70065 ) "
4.70304, 50.97228, "[VB][WERCHTER-001]Nieuwebaan ( N50.97228 E4.70304 ) "
4.70629, 50.99728, "[VB][TREMOLO-001]Schrieksebaan ( N50.99728 E4.70629 ) "
