;lon,lat,descr
3.25034, 50.79916, "[WV][MARKE-001]E17/A14 ( N50.79916 E3.25034 ) "
3.68887, 50.98554, "[OV][ZEVERGEM-002]E17 ( N50.98554 E3.68887 ) "
3.689, 50.9855, "[OV][ZEVERGEM-001]E17 ( N50.9855 E3.689 ) "
3.711, 51.01453, "[OV][GENT-016]A10/E40 ( N51.01453 E3.711 ) "
3.71105, 51.01462, "[OV][GENT-015]E40 ( N51.01462 E3.71105 ) "
3.78401, 50.99541, "[OV][MELLE-001]E40 / A10 Brussel-Oostende ( N50.99541 E3.78401 ) "
3.78407, 50.99548, "[OV][MELLE-002]E40 / A10 Brussel-Oostende ( N50.99548 E3.78407 ) "
4.3347, 50.90813, "[VB][STROMBEEK-BEVER-001]Brusselse Ring ( N50.90813 E4.3347 ) "
4.4137, 51.16968, "[AW][WILRIJK-012]Autostrade A1/E19 ( N51.16968 E4.4137 ) "
4.41397, 51.16926, "[AW][WILRIJK-009]E19/A1 ( N51.16926 E4.41397 ) "
4.4425, 51.08742, "[AW][RUMST-001]E19 / A1 ( N51.08742 E4.4425 ) "
4.46899, 50.86895, "[BG][SINT-STEVENS-WOLUWE-007]Buitenring RO ( N50.86895 E4.46899 ) "
4.47808, 50.8506, "[BG][WEZEMBEEK-OPPEM-001]Binnenring R0 ( N50.8506 E4.47808 ) "
4.48744, 51.2676, "[AW][BRASSCHAAT-009]A1/E19 ( N51.2676 E4.48744 ) "
4.61367, 50.70232, "[WB][WAVRE-001]E411 ( N50.70232 E4.61367 ) "
4.61464, 50.86062, "[VB][BERTEM-001]E40 - A3 ( N50.86062 E4.61464 ) "
4.76268, 50.94262, "[VB][WEZEMAAL-003]E314 ( N50.94262 E4.76268 ) "
4.90339, 50.48468, "[NM][NAMUR-001]E411 ( N50.48468 E4.90339 ) "
4.9093, 50.47602, "[NM][BOUGE-001]E411 ( N50.47602 E4.9093 ) "
5.12529, 51.08636, "[BL][GENENDIJK-001]E313 Koning Boudewijnsnelweg ( N51.08636 E5.12529 ) "
5.5901, 50.68019, "[LK][LUIK-008]Ring Luik A3/E40 ( N50.68019 E5.5901 ) "
5.63343, 50.68806, "[LK][LUIK-003]Ring Luik ( N50.68806 E5.63343 ) "
5.6733, 50.67642, "[LK][LUIK-004]Ring Luik ( N50.67642 E5.6733 ) "
