;lon,lat,descr
3.82181, 50.94335, "[OV][OOSTERZELE-003]Wetterse Steenweg ( N50.94335 E3.82181 ) "
3.81545, 50.9526, "[OV][OOSTERZELE-004]Wetterse Steenweg ( N50.9526 E3.81545 ) "
3.815, 50.9529, "[OV][OOSTERZELE-002]Wetterse Steenweg ( N50.9529 E3.815 ) "
3.96441, 51.00816, "[OV][WICHELEN-001]Rijksweg ( N51.00816 E3.96441 ) "
3.755, 51.03472, "[OV][GENTBRUGGE-001]Brusselsesteenweg ( N51.03472 E3.755 ) "
3.7543, 51.03493, "[OV][GENTBRUGGE-002]Brusselsesteenweg ( N51.03493 E3.7543 ) "
4.44071, 50.46181, "[HG][GOSSELIES-001]Contournement de Gosselies ( N50.46181 E4.44071 ) "
4.11928, 50.69534, "[WB][BIERGHES-001]Chaussée Maieur Habils ( N50.69534 E4.11928 ) "
4.11981, 50.69563, "[WB][BIERGHES-002]Chaussée d'Enghien ( N50.69563 E4.11981 ) "
4.24868, 50.75517, "[VB][BUIZINGEN-002]Bergensesteenweg ( N50.75517 E4.24868 ) "
4.24898, 50.75571, "[VB][BUIZINGEN-001]Bergensesteenweg ( N50.75571 E4.24898 ) "
4.16939, 50.75658, "[VB][PEPINGEN-002]Steenweg naar Ninove ( N50.75658 E4.16939 ) "
4.38466, 50.75928, "[VB][SINT-GENESIUS-RODE-002]Waterloosesteenweg ( N50.75928 E4.38466 ) "
4.38451, 50.75967, "[VB][SINT-GENESIUS-RODE-001]Waterloosesteenweg ( N50.75967 E4.38451 ) "
4.38276, 50.77552, "[BG][UKKEL-002]Waterloosesteenweg ( N50.77552 E4.38276 ) "
4.38252, 50.77597, "[BG][UKKEL-001]Waterloosesteenweg ( N50.77597 E4.38252 ) "
4.27484, 50.78283, "[VB][SINT-PIETERS-LEEUW-002]Bergensesteenweg ( N50.78283 E4.27484 ) "
4.27524, 50.7834, "[VB][SINT-PIETERS-LEEUW-001]Bergensesteenweg ( N50.7834 E4.27524 ) "
4.0733, 50.79269, "[VB][GOOIK-002]Ninoofsesteenweg ( N50.79269 E4.0733 ) "
4.0727, 50.79313, "[VB][GOOIK-001]Ninoofsesteenweg ( N50.79313 E4.0727 ) "
4.07544, 50.83087, "[VB][PAMEL-006]Ninoofsesteenweg ( N50.83087 E4.07544 ) "
4.08401, 50.83134, "[VB][PAMEL-005]Ninoofsesteenweg ( N50.83134 E4.08401 ) "
4.09137, 50.83175, "[VB][PAMEL-004]Ninoofsesteenweg ( N50.83175 E4.09137 ) "
4.09182, 50.83178, "[VB][PAMEL-007]Ninoofsesteenweg ( N50.83178 E4.09182 ) "
4.10506, 50.83254, "[VB][PAMEL-003]Ninoofsesteenweg ( N50.83254 E4.10506 ) "
4.42779, 50.83463, "[BG][SINT-PIETERS-WOLUWE-004]Tervurenlaan ( N50.83463 E4.42779 ) "
4.14404, 50.83483, "[VB][EIZERINGEN-001]Ninoofsesteenweg ( N50.83483 E4.14404 ) "
4.14504, 50.83491, "[VB][EIZERINGEN-002]Ninoofsesteenweg ( N50.83491 E4.14504 ) "
4.41578, 50.83554, "[BG][SINT-PIETERS-WOLUWE-002]Tervurenlaan ( N50.83554 E4.41578 ) "
4.41645, 50.83592, "[BG][SINT-PIETERS-WOLUWE-001]Tervurenlaan ( N50.83592 E4.41645 ) "
4.43616, 50.84041, "[BG][SINT-LAMBRECHTS-WOLUWE-007]Woluwedal ( N50.84041 E4.43616 ) "
4.43617, 50.84042, "[BG][SINT-LAMBRECHTS-WOLUWE-008]Woluwedal ( N50.84042 E4.43617 ) "
4.44533, 50.85532, "[BG][SINT-LAMBRECHTS-WOLUWE-005]Woluwedal ( N50.85532 E4.44533 ) "
4.40273, 50.86683, "[BG][EVERE-003]Leopold III-laan ( N50.86683 E4.40273 ) "
4.40257, 50.86748, "[BG][EVERE-004]Leopold-III laan ( N50.86748 E4.40257 ) "
4.03234, 50.88589, "[OV][DENDERHOUTEM-002]N45 ( N50.88589 E4.03234 ) "
4.25848, 50.89092, "[VB][ZELLIK-002]Brusselsesteenweg ( N50.89092 E4.25848 ) "
4.258, 50.89096, "[VB][ZELLIK-001]Brusselsesteenweg ( N50.89096 E4.258 ) "
4.25061, 50.89251, "[VB][ZELLIK-004]Brusselsesteenweg ( N50.89251 E4.25061 ) "
4.03308, 50.95589, "[OV][HOFSTADE-002]Steenweg op Dendermonde ( N50.95589 E4.03308 ) "
4.03314, 50.95613, "[OV][HOFSTADE-004]Steenweg Op Dendermonde ( N50.95613 E4.03314 ) "
4.03384, 50.95697, "[OV][HOFSTADE-005]Steenweg naar Oudegem ( N50.95697 E4.03384 ) "
4.03408, 50.95668, "[OV][HOFSTADE-006]Steenweg naar Oudegem ( N50.95668 E4.03408 ) "
4.12314, 51.05959, "[OV][GREMBERGEN-003]N41 ( N51.05959 E4.12314 ) "
4.12594, 51.03775, "[OV][DENDERMONDE-011]N41 ( N51.03775 E4.12594 ) "
4.12628, 51.03736, "[OV][DENDERMONDE-010]N41 ( N51.03736 E4.12628 ) "
4.12842, 51.03198, "[OV][DENDERMONDE-004]N41 ( N51.03198 E4.12842 ) "
4.12859, 51.03179, "[OV][DENDERMONDE-005]N41 ( N51.03179 E4.12859 ) "
4.14053, 50.9828, "[OV][LEBBEKE-002]Brusselsestw ( N50.9828 E4.14053 ) "
4.14075, 50.98245, "[OV][LEBBEKE-001]Brusselsestw ( N50.98245 E4.14075 ) "
4.16239, 50.9522, "[VB][MAZENZELE-004]Steenweg ( N50.9522 E4.16239 ) "
4.16259, 50.95192, "[VB][MAZENZELE-002]Steenweg ( N50.95192 E4.16259 ) "
