;lon,lat,descr
3.61986, 51.10702, "RF - 70KMH - 0502"
3.63699, 51.09836, "RF - 70KMH - 0471"
3.63787, 51.09813, "RF - 70KMH - 0362"
3.71423, 51.10036, "RF - 70KMH - 0271"
3.71438, 51.101, "RF - 70KMH - 0498"
3.7935, 51.08324, "RF - 70KMH - 0056"
3.7942, 51.0837, "RF - 70KMH - 0374"
3.9383, 51.113, "RF - 70KMH - 0272"
3.95272, 51.11465, "RF - 70KMH - 0380"
3.97075, 51.10957, "RF - 70KMH - 0506"
3.97171, 51.10976, "RF - 70KMH - 0490"
4.06944, 51.13844, "RF - 70KMH - 0378"
4.07003, 51.13884, "RF - 70KMH - 0392"
4.28941, 50.6643, "RF - 70KMH - 0534"
4.27601, 50.67276, "RF - 70KMH - 0533"
4.39442, 50.74165, "RF - 70KMH - 0463"
4.39479, 50.74299, "RF - 70KMH - 0410"
4.24882, 50.7552, "RF - 70KMH - 0487"
4.24885, 50.7557, "RF - 70KMH - 0424"
4.17014, 50.75638, "RF - 70KMH - 0465"
4.16946, 50.75646, "RF - 70KMH - 0511"
4.38476, 50.75921, "RF - 70KMH - 0306"
4.3842, 50.75969, "RF - 70KMH - 0467"
4.38239, 50.76641, "RF - 70KMH - 0368"
4.2749, 50.78285, "RF - 70KMH - 0286"
4.27493, 50.78331, "RF - 70KMH - 0423"
4.07325, 50.79285, "RF - 70KMH - 0366"
4.07267, 50.79304, "RF - 70KMH - 0085"
4.44304, 50.81042, "RF - 70KMH - 0308"
4.19826, 50.81141, "RF - 70KMH - 0369"
4.18783, 50.81193, "RF - 70KMH - 0445"
4.43732, 50.81256, "RF - 70KMH - 0512"
4.44693, 50.822, "RF - 70KMH - 0491"
4.07467, 50.83065, "RF - 70KMH - 0086"
4.07585, 50.83105, "RF - 70KMH - 0083"
4.08395, 50.83125, "RF - 70KMH - 0481"
4.08465, 50.83148, "RF - 70KMH - 0486"
4.09129, 50.83174, "RF - 70KMH - 0444"
4.09216, 50.83196, "RF - 70KMH - 0060"
4.09902, 50.83213, "RF - 70KMH - 0454"
4.09914, 50.83238, "RF - 70KMH - 0036"
4.10464, 50.83249, "RF - 70KMH - 0466"
4.10569, 50.83273, "RF - 70KMH - 0187"
4.14398, 50.83476, "RF - 70KMH - 0089"
4.42736, 50.83493, "RF - 70KMH - 0515"
4.14515, 50.83514, "RF - 70KMH - 0313"
4.12609, 50.91173, "RF - 70KMH - 0107"
4.16097, 50.8358, "RF - 70KMH - 0049"
4.16122, 50.83603, "RF - 70KMH - 0441"
4.19303, 50.83812, "RF - 70KMH - 0288"
4.19314, 50.83789, "RF - 70KMH - 0250"
4.21865, 50.84006, "RF - 70KMH - 0430"
4.22681, 50.89859, "RF - 70KMH - 0422"
4.23299, 50.89748, "RF - 70KMH - 0335"
4.23494, 50.89685, "RF - 70KMH - 0451"
4.2478, 50.84267, "RF - 70KMH - 0433"
4.24791, 50.84237, "RF - 70KMH - 0429"
4.24972, 50.89255, "RF - 70KMH - 0504"
4.251, 50.89243, "RF - 70KMH - 0509"
4.25759, 50.89086, "RF - 70KMH - 0234"
4.37075, 50.88988, "RF - 70KMH - 0401"
4.40253, 50.86741, "RF - 70KMH - 0090"
4.40277, 50.86695, "RF - 70KMH - 0283"
4.41117, 50.87618, "RF - 70KMH - 0279"
4.41198, 50.87682, "RF - 70KMH - 0285"
4.41578, 50.83554, "RF - 70KMH - 0280"
4.41645, 50.83565, "RF - 70KMH - 0310"
4.42648, 50.90338, "RF - 70KMH - 0230"
4.42705, 50.90284, "RF - 70KMH - 0450"
4.43018, 50.91032, "RF - 70KMH - 0011"
4.43273, 50.8966, "RF - 70KMH - 0334"
4.43285, 50.89674, "RF - 70KMH - 0336"
4.43366, 50.8965, "RF - 70KMH - 0398"
4.43375, 50.89665, "RF - 70KMH - 0360"
4.43617, 50.84042, "RF - 70KMH - 0453"
4.43625, 50.89555, "RF - 70KMH - 0302"
4.4364, 50.83986, "RF - 70KMH - 0251"
4.43718, 50.8957, "RF - 70KMH - 0253"
4.44534, 50.85531, "RF - 70KMH - 0281"
4.44552, 50.85579, "RF - 70KMH - 0363"
4.08287, 51.14281, "RF - 70KMH - 0267"
4.08378, 51.14298, "RF - 70KMH - 0252"
4.08757, 51.03321, "RF - 70KMH - 0232"
4.08805, 51.03363, "RF - 70KMH - 0238"
4.11943, 51.03608, "RF - 70KMH - 0373"
4.12595, 51.03775, "RF - 70KMH - 0455"
4.12627, 51.03739, "RF - 70KMH - 0278"
4.12811, 51.03204, "RF - 70KMH - 0240"
4.12877, 51.03172, "RF - 70KMH - 0237"
4.13224, 51.15044, "RF - 70KMH - 0047"
4.13336, 51.15086, "RF - 70KMH - 0347"
4.14044, 50.98264, "RF - 70KMH - 0376"
4.14092, 50.9824, "RF - 70KMH - 0476"
4.14147, 51.08197, "RF - 70KMH - 0287"
4.14167, 51.0825, "RF - 70KMH - 0311"
4.16231, 50.95224, "RF - 70KMH - 0330"
4.1628, 50.95194, "RF - 70KMH - 0339"
4.17408, 51.1666, "RF - 70KMH - 0305"
4.17912, 50.92016, "RF - 70KMH - 0396"
4.18158, 50.92624, "RF - 70KMH - 0284"
4.32507, 50.94501, "RF - 70KMH - 0524"
4.36511, 50.92093, "RF - 70KMH - 0216"
4.36554, 50.92058, "RF - 70KMH - 0235"
4.42145, 50.9156, "RF - 70KMH - 0364"
4.42155, 50.91506, "RF - 70KMH - 0375"
4.43181, 50.91326, "RF - 70KMH - 0300"
4.43185, 50.9127, "RF - 70KMH - 0239"
4.43439, 50.91539, "RF - 70KMH - 0393"
4.4347, 50.91611, "RF - 70KMH - 0236"
4.44709, 50.9187, "RF - 70KMH - 0386"
4.44814, 50.91842, "RF - 70KMH - 0274"
4.45385, 50.9146, "RF - 70KMH - 0097"
4.45488, 50.91428, "RF - 70KMH - 0028"
4.45509, 50.91441, "RF - 70KMH - 0030"
4.17438, 51.16699, "RF - 70KMH - 0219"
4.18354, 51.17216, "RF - 70KMH - 0215"
4.1837, 51.1727, "RF - 70KMH - 0389"
4.19232, 51.17768, "RF - 70KMH - 0312"
4.19294, 51.17845, "RF - 70KMH - 0500"
4.3676, 51.20895, "RF - 70KMH - 0489"
4.36785, 51.20905, "RF - 70KMH - 0299"
4.37448, 51.20279, "RF - 70KMH - 0301"
4.3747, 51.20289, "RF - 70KMH - 0115"
4.37486, 51.20239, "RF - 70KMH - 0106"
4.41986, 51.24516, "RF - 70KMH - 0214"
4.41988, 51.25483, "RF - 70KMH - 0110"
4.42013, 51.24517, "RF - 70KMH - 0217"
4.42013, 51.25483, "RF - 70KMH - 0218"
4.42018, 51.25442, "RF - 70KMH - 0193"
4.42021, 51.2443, "RF - 70KMH - 0331"
4.42043, 51.25443, "RF - 70KMH - 0213"
4.42048, 51.24432, "RF - 70KMH - 0446"
4.4254, 51.18928, "RF - 70KMH - 0191"
4.42612, 51.18934, "RF - 70KMH - 0109"
4.42866, 51.18643, "RF - 70KMH - 0199"
4.42882, 51.18654, "RF - 70KMH - 0220"
4.4292, 51.18627, "RF - 70KMH - 0172"
4.4294, 51.18635, "RF - 70KMH - 0198"
4.43253, 51.18011, "RF - 70KMH - 0370"
4.43333, 51.17973, "RF - 70KMH - 0470"
4.43353, 51.17981, "RF - 70KMH - 0197"
4.44254, 51.2293, "RF - 70KMH - 0221"
4.44269, 51.22918, "RF - 70KMH - 0224"
4.44326, 51.22976, "RF - 70KMH - 0196"
4.44389, 51.21083, "RF - 70KMH - 0521"
4.44583, 51.21278, "RF - 70KMH - 0522"
4.45293, 51.23172, "RF - 70KMH - 0023"
4.45459, 51.23209, "RF - 70KMH - 0014"
5.14751, 50.5433, "RF - 70KMH - 0024"
5.06204, 50.58195, "RF - 70KMH - 0133"
4.60441, 50.66283, "RF - 70KMH - 0460"
4.59025, 50.66706, "RF - 70KMH - 0333"
5.03584, 50.71295, "RF - 70KMH - 0507"
4.77362, 50.73432, "RF - 70KMH - 0464"
4.96052, 50.76776, "RF - 70KMH - 0068"
4.98528, 50.79794, "RF - 70KMH - 0116"
4.98626, 50.79802, "RF - 70KMH - 0268"
4.94068, 50.80232, "RF - 70KMH - 0074"
4.94773, 50.80239, "RF - 70KMH - 0510"
4.94746, 50.80297, "RF - 70KMH - 0289"
4.94796, 50.80835, "RF - 70KMH - 0029"
5.19159, 50.81054, "RF - 70KMH - 0265"
4.93794, 50.81289, "RF - 70KMH - 0307"
4.47702, 50.81921, "RF - 70KMH - 0513"
4.4765, 50.81965, "RF - 70KMH - 0337"
4.47724, 50.81975, "RF - 70KMH - 0514"
4.47729, 50.82037, "RF - 70KMH - 0469"
4.95813, 50.82145, "RF - 70KMH - 0233"
4.70242, 50.82584, "RF - 70KMH - 0031"
4.70202, 50.82644, "RF - 70KMH - 0277"
4.97876, 50.82655, "RF - 70KMH - 0294"
4.90098, 50.82833, "RF - 70KMH - 0071"
4.94541, 50.83944, "RF - 70KMH - 0276"
4.91492, 50.84036, "RF - 70KMH - 0403"
4.71949, 50.8475, "RF - 70KMH - 0064"
4.71933, 50.84819, "RF - 70KMH - 0338"
4.7222, 50.85065, "RF - 70KMH - 0290"
4.7225, 50.85163, "RF - 70KMH - 0303"
4.65967, 50.86472, "RF - 70KMH - 0340"
4.66085, 50.865, "RF - 70KMH - 0332"
4.67846, 50.86766, "RF - 70KMH - 0517"
4.45869, 50.9119, "RF - 70KMH - 0391"
4.45988, 50.9115, "RF - 70KMH - 0443"
4.46004, 50.91163, "RF - 70KMH - 0377"
4.46275, 50.87035, "RF - 70KMH - 0372"
4.46313, 50.87062, "RF - 70KMH - 0468"
4.5018, 50.91887, "RF - 70KMH - 0482"
4.50206, 50.91939, "RF - 70KMH - 0165"
4.50536, 50.97838, "RF - 70KMH - 0163"
4.50567, 50.97892, "RF - 70KMH - 0157"
4.50604, 50.97812, "RF - 70KMH - 0096"
4.50638, 50.97863, "RF - 70KMH - 0122"
4.51041, 50.87015, "RF - 70KMH - 0528"
4.51103, 50.86849, "RF - 70KMH - 0523"
4.51119, 50.87014, "RF - 70KMH - 0529"
4.51133, 50.86853, "RF - 70KMH - 0516"
4.61856, 50.96941, "RF - 70KMH - 0505"
4.65894, 50.9726, "RF - 70KMH - 0155"
4.66272, 50.97243, "RF - 70KMH - 0158"
4.67656, 50.90976, "RF - 70KMH - 0436"
4.67704, 50.90958, "RF - 70KMH - 0447"
4.67892, 50.86808, "RF - 70KMH - 0518"
4.68153, 50.8988, "RF - 70KMH - 0044"
4.68206, 50.89868, "RF - 70KMH - 0479"
4.69188, 50.88936, "RF - 70KMH - 0501"
4.74012, 50.93676, "RF - 70KMH - 0200"
4.75103, 50.97037, "RF - 70KMH - 0189"
4.83711, 50.96278, "RF - 70KMH - 0137"
4.83749, 50.96247, "RF - 70KMH - 0149"
4.83845, 50.9518, "RF - 70KMH - 0161"
4.83876, 50.95131, "RF - 70KMH - 0162"
4.87899, 50.9762, "RF - 70KMH - 0076"
4.8805, 50.97619, "RF - 70KMH - 0135"
4.98063, 50.91567, "RF - 70KMH - 0261"
4.98792, 50.93164, "RF - 70KMH - 0356"
5.73278, 49.76472, "RF - 70KMH - 0532"
5.22027, 50.14449, "RF - 70KMH - 0315"
5.26031, 50.54595, "RF - 70KMH - 0388"
5.26083, 50.54646, "RF - 70KMH - 0350"
5.31375, 50.56822, "RF - 70KMH - 0125"
5.22569, 50.57056, "RF - 70KMH - 0093"
5.1931, 50.60389, "RF - 70KMH - 0119"
5.35291, 50.61354, "RF - 70KMH - 0494"
5.5257, 50.61681, "RF - 70KMH - 0538"
5.19469, 50.65019, "RF - 70KMH - 0382"
5.19501, 50.65024, "RF - 70KMH - 0526"
5.48727, 50.65261, "RF - 70KMH - 0525"
5.35857, 50.6586, "RF - 70KMH - 0531"
5.35906, 50.65885, "RF - 70KMH - 0401"
5.49432, 50.67041, "RF - 70KMH - 0536"
5.45791, 50.68503, "RF - 70KMH - 0537"
5.45114, 50.68775, "RF - 70KMH - 0010"
5.3587, 50.72523, "RF - 70KMH - 0530"
5.35858, 50.72528, "RF - 70KMH - 0527"
5.21098, 50.79912, "RF - 70KMH - 0314"
5.21025, 50.79931, "RF - 70KMH - 0209"
5.1916, 50.81006, "RF - 70KMH - 0325"
5.59483, 50.81163, "RF - 70KMH - 0258"
5.19366, 50.81198, "RF - 70KMH - 0437"
5.59535, 50.81199, "RF - 70KMH - 0458"
5.19348, 50.81242, "RF - 70KMH - 0328"
5.19764, 50.81603, "RF - 70KMH - 0503"
5.19842, 50.81678, "RF - 70KMH - 0318"
5.64257, 50.89807, "RF - 70KMH - 0346"
5.68087, 50.90859, "RF - 70KMH - 0345"
5.6805, 50.90909, "RF - 70KMH - 0263"
5.35317, 50.9111, "RF - 70KMH - 0317"
5.35076, 50.91308, "RF - 70KMH - 0402"
5.34808, 50.91597, "RF - 70KMH - 0344"
5.25733, 50.95705, "RF - 70KMH - 0257"
5.29819, 50.9395, "RF - 70KMH - 0245"
5.29936, 50.93957, "RF - 70KMH - 0254"
5.30673, 50.92382, "RF - 70KMH - 0459"
5.31634, 50.93657, "RF - 70KMH - 0355"
5.31748, 50.9365, "RF - 70KMH - 0255"
5.31979, 50.95226, "RF - 70KMH - 0072"
5.32156, 50.95129, "RF - 70KMH - 0399"
5.32598, 50.91679, "RF - 70KMH - 0329"
5.32644, 50.91759, "RF - 70KMH - 0405"
5.34163, 50.94055, "RF - 70KMH - 0472"
5.3419, 50.9397, "RF - 70KMH - 0326"
5.34303, 50.94416, "RF - 70KMH - 0282"
5.34337, 50.94368, "RF - 70KMH - 0428"
5.34369, 50.9439, "RF - 70KMH - 0495"
5.34534, 50.94823, "RF - 70KMH - 0208"
5.34563, 50.94773, "RF - 70KMH - 0416"
5.34709, 50.91639, "RF - 70KMH - 0421"
5.34789, 50.91606, "RF - 70KMH - 0256"
5.34833, 50.94357, "RF - 70KMH - 0413"
5.3553, 50.9625, "RF - 70KMH - 0177"
5.35533, 50.96338, "RF - 70KMH - 0426"
5.35948, 50.94344, "RF - 70KMH - 0456"
5.44808, 50.92223, "RF - 70KMH - 0440"
5.44833, 50.92267, "RF - 70KMH - 0432"
5.46805, 50.93215, "RF - 70KMH - 0304"
5.52243, 50.94903, "RF - 70KMH - 0242"
5.52268, 50.94815, "RF - 70KMH - 0324"
5.69438, 50.95818, "RF - 70KMH - 0431"
5.69472, 50.95758, "RF - 70KMH - 0404"
5.69541, 50.96443, "RF - 70KMH - 0202"
5.69562, 50.96379, "RF - 70KMH - 0070"
5.69644, 50.9671, "RF - 70KMH - 0408"
5.69674, 50.96653, "RF - 70KMH - 0264"
4.47579, 51.01171, "RF - 70KMH - 0442"
4.47553, 51.01173, "RF - 70KMH - 0075"
4.47567, 51.01245, "RF - 70KMH - 0168"
4.47541, 51.01247, "RF - 70KMH - 0166"
4.48166, 51.02034, "RF - 70KMH - 0203"
4.48306, 51.02067, "RF - 70KMH - 0016"
4.483, 51.02085, "RF - 70KMH - 0243"
4.47022, 51.02786, "RF - 70KMH - 0154"
4.47015, 51.02849, "RF - 70KMH - 0136"
4.48321, 51.03304, "RF - 70KMH - 0156"
4.48397, 51.03319, "RF - 70KMH - 0150"
4.46408, 51.05427, "RF - 70KMH - 0013"
4.46221, 51.05689, "RF - 70KMH - 0069"
4.57852, 51.12332, "RF - 70KMH - 0062"
4.57846, 51.1235, "RF - 70KMH - 0091"
4.4807, 51.21325, "RF - 70KMH - 0022"
4.48106, 51.21384, "RF - 70KMH - 0146"
4.50354, 51.23158, "RF - 70KMH - 0190"
4.5023, 51.23172, "RF - 70KMH - 0138"
4.45658, 51.23221, "RF - 70KMH - 0273"
4.45749, 51.23225, "RF - 70KMH - 0204"
4.45725, 51.23281, "RF - 70KMH - 0141"
4.45791, 51.23281, "RF - 70KMH - 0147"
4.45752, 51.23284, "RF - 70KMH - 0043"
4.46987, 51.23449, "RF - 70KMH - 0164"
4.47099, 51.2347, "RF - 70KMH - 0041"
4.52402, 51.27558, "RF - 70KMH - 0170"
4.4729, 51.27559, "RF - 70KMH - 0153"
4.47297, 51.27631, "RF - 70KMH - 0042"
4.52875, 51.28103, "RF - 70KMH - 0145"
4.53838, 51.28939, "RF - 70KMH - 0143"
4.50734, 51.30778, "RF - 70KMH - 0061"
4.50753, 51.30817, "RF - 70KMH - 0184"
4.85453, 50.97946, "RF - 70KMH - 0169"
4.85598, 50.97947, "RF - 70KMH - 0123"
4.84243, 50.98679, "RF - 70KMH - 0152"
4.84225, 50.98734, "RF - 70KMH - 0140"
4.83042, 50.99986, "RF - 70KMH - 0131"
4.83095, 51.00018, "RF - 70KMH - 0066"
4.8304, 51.00039, "RF - 70KMH - 0063"
4.82831, 51.00199, "RF - 70KMH - 0065"
4.82771, 51.00219, "RF - 70KMH - 0099"
4.83875, 51.00947, "RF - 70KMH - 0098"
4.83856, 51.00987, "RF - 70KMH - 0067"
4.76428, 51.03511, "RF - 70KMH - 0167"
4.76358, 51.03526, "RF - 70KMH - 0012"
4.86965, 51.10496, "RF - 70KMH - 0039"
4.86892, 51.11038, "RF - 70KMH - 0144"
4.5879, 51.12803, "RF - 70KMH - 0045"
4.58746, 51.12874, "RF - 70KMH - 0173"
4.94169, 51.13983, "RF - 70KMH - 0175"
4.94188, 51.14041, "RF - 70KMH - 0040"
