Funds	
null	
Price search	

Instrument's name	ISIN	Euronext code	Market	Symbol	Trading currency	Last	Volume	D/D-1 (%)	Date - time (CET)	Turnover	Trading mode	Day First	Day High	Day High / Date - time (CET)	Day Low	Day Low / Date - time (CET)	 31-12/Change (%)	 31-12/High	 31-12/High/Date	 31-12/Low	 31-12/Low/Date	 52 weeks/Change (%)	 52 weeks/High	 52 weeks/High/Date	 52 weeks/Low	 52 weeks/Low/Date	Halted	Halted / Date - time (CET)	Halted	Halted / Date - time (CET)
ING GLOBAL EM FD	NL0006311771	NL0006311771	AMS	INGEM	EUR	26.16	1 732	2.99	16/07/09 10:00	45 309	null	26.16	26.16	16/07/09 10:00	26.16	16/07/09 10:00	35.33	27.05	02/06/09	18.58	03/03/09	-21.72	34.37	24/07/08	17.63	28/10/08	-	-	-	-
ING GLOBAL FD	NL0006311805	NL0006311805	AMS	INGGL	EUR	38.86	4 689	2.51	16/07/09 10:00	182 215	null	38.86	38.86	16/07/09 10:00	38.86	16/07/09 10:00	14.46	40.68	02/06/09	29.29	10/03/09	-15.02	48.87	02/09/08	29.29	10/03/09	-	-	-	-
ING GLOBAL OBL FD	NL0006311839	NL0006311839	AMS	INGOF	EUR	12.9	13 653	-0.92	16/07/09 10:00	176 124	null	12.9	12.9	16/07/09 10:00	12.9	16/07/09 10:00	-1.68	14.11	19/02/09	12.52	12/06/09	8.68	14.11	19/02/09	11.76	22/07/08	-	-	-	-
ING HEALTH CARE 9	NL0000292274	NL0000292274	AMS	INGFM	EUR	17.86	13 330	-0.11	16/07/09 10:00	238 074	null	17.86	17.86	16/07/09 10:00	17.86	16/07/09 10:00	-0.28	19.55	09/02/09	16.43	10/03/09	-6.49	21.49	18/08/08	16.43	10/03/09	-	-	-	-
ING HG DIV OBL FD	NL0006311813	NL0006311813	AMS	INGHO	EUR	19.03	7 359	1.12	16/07/09 10:00	140 042	null	19.03	19.03	16/07/09 10:00	19.03	16/07/09 10:00	18.42	19.03	16/07/09	15.39	10/03/09	-18.92	23.62	09/09/08	15.11	16/12/08	-	-	-	-
ING HG DV AANDFD17	NL0000289858	NL0000289858	AMS	INGHD	EUR	16.56	111 478	1.91	16/07/09 10:00	1 846 076	null	16.56	16.56	16/07/09 10:00	16.56	16/07/09 10:00	-0.6	18.05	07/01/09	13.31	10/03/09	-20.73	23.5	12/08/08	13.31	10/03/09	-	-	-	-
ING INDUSTR FD 3	NL0000289841	NL0000289841	AMS	INGDU	EUR	24.22	7 722	1.72	16/07/09 10:00	187 027	null	24.22	24.22	16/07/09 10:00	24.22	16/07/09 10:00	2.58	26.73	11/05/09	18.88	10/03/09	-26.74	35.77	03/09/08	18.88	10/03/09	-	-	-	-
ING INF TECHN FD	NL0006311821	NL0006311821	AMS	INGIT	EUR	24.22	9 207	2.85	16/07/09 10:00	222 994	null	24.22	24.22	16/07/09 10:00	24.22	16/07/09 10:00	27.41	24.22	16/07/09	18.09	10/03/09	-2.89	28.75	18/08/08	18.09	10/03/09	-	-	-	-
ING INTERNET FD 12	NL0000288025	NL0000288025	AMS	INGIN	EUR	12.04	3 523	3.17	16/07/09 10:00	42 417	null	12.04	12.04	16/07/09 10:00	12.04	16/07/09 10:00	33.04	12.24	10/06/09	9.14	10/03/09	4.33	13.75	18/08/08	8.57	21/11/08	-	-	-	-
ING JAPAN FUND 13	NL0000286078	NL0000286078	AMS	INGJF	EUR	7.77	16 060	-1.4	16/07/09 10:00	124 786	null	7.77	7.77	16/07/09 10:00	7.77	16/07/09 10:00	-4.31	8.56	13/01/09	6.6	10/03/09	-20.80	10.25	25/07/08	6.6	10/03/09	-	-	-	-
ING LION FUND	NL0006311862	NL0006311862	AMS	INGLF	EUR	29.53	4 013	0.44	16/07/09 10:00	118 504	null	29.53	29.53	16/07/09 10:00	29.53	16/07/09 10:00	0.14	30.77	11/05/09	27.6	10/03/09	-8.89	33.7	09/09/08	27.6	10/03/09	-	-	-	-
ING LX CONS GDSFD	NL0000289684	NL0000289684	AMS	INGUX	EUR	20.41	325	0.84	16/07/09 10:00	6 633	null	20.41	20.41	16/07/09 10:00	20.41	16/07/09 10:00	10.68	22.29	07/05/09	16.47	10/03/09	-3.95	24.89	09/09/08	16.47	10/03/09	-	-	-	-
ING NORTH AMERICA	NL0000286045	NL0000286045	AMS	INGNO	EUR	14.42	12 221	1.98	16/07/09 10:00	176 227	null	14.42	14.42	16/07/09 10:00	14.42	16/07/09 10:00	3	15.52	07/01/09	12.26	10/03/09	-11.32	18.52	12/09/08	12.26	10/03/09	-	-	-	-
ING OPP AAND FONDS	NL0006052011	NL0006052011	AMS	INGOA	EUR	19.93	9 967	0.66	16/07/09 10:00	198 642	null	19.93	19.93	16/07/09 10:00	19.93	16/07/09 10:00	3.43	20.32	02/06/09	18.3	10/03/09	-8.91	22.47	02/09/08	18.3	10/03/09	-	-	-	-
ING PR DIV FD	NL0006311748	NL0006311748	AMS	INGPD	EUR	15.83	29 438	1.6	16/07/09 10:00	466 004	null	15.83	15.83	16/07/09 10:00	15.83	16/07/09 10:00	1.8	16.28	07/01/09	13.03	09/03/09	-21.75	21.23	12/08/08	13.03	09/03/09	-	-	-	-
ING TLC SERV FD 4	NL0000289999	NL0000289999	AMS	INGTS	EUR	22.65	1 852	1.12	16/07/09 10:00	41 948	null	22.65	22.65	16/07/09 10:00	22.65	16/07/09 10:00	-6.94	25.96	07/01/09	21.38	10/03/09	-19.77	29.39	03/09/08	21.38	10/03/09	-	-	-	-
ING UTILITIES FD 5	NL0000289668	NL0000289668	AMS	INGUT	EUR	36.41	9 029	0.69	16/07/09 10:00	328 746	null	36.41	36.41	16/07/09 10:00	36.41	16/07/09 10:00	-8.15	42.28	06/01/09	33.1	12/03/09	-27.17	51.04	29/08/08	33.1	12/03/09	-	-	-	-
ING YOUNG MIX FD	NL0006311763	NL0006311763	AMS	INGYM	EUR	20.27	243	0.95	16/07/09 10:00	4 926	null	20.27	20.27	16/07/09 10:00	20.27	16/07/09 10:00	7.08	20.89	02/06/09	17.71	10/03/09	-1.41	21.83	13/08/08	17.71	10/03/09	-	-	-	-
INTEREFF EM AFRICA	NL0006173007	NL0006173007	AMS	INEMA	EUR	11.07	226	-0.27	16/07/09 10:00	2 502	null	11.07	11.07	16/07/09 10:00	11.07	16/07/09 10:00	5.73	11.72	15/06/09	8.78	23/03/09	-36.20	17.86	05/09/08	8.78	23/03/09	-	-	-	-
INTEREFF VIETNAM	NL0006489189	NL0006489189	AMS	INVIE	EUR	11.2	65	1.36	16/07/09 10:00	728	null	11.2	11.2	16/07/09 10:00	11.2	16/07/09 10:00	32.39	12.37	15/06/09	8.08	10/03/09	32.39	12.37	15/06/09	8.08	10/03/09	-	-	-	-
KEMPEN EUR PART	NL0009039742	NL0009039742	AMS	KEP	EUR	36 272.87	183	16.64	01/07/09 10:00	6 637 935	null	36 272.87	36 272.87	01/07/09 10:00	36 272.87	01/07/09 10:00	16.64	36 272.87	01/07/09	31 096.99	01/04/09	16.64	36 272.87	01/07/09	31 096.99	01/04/09	-	-	-	-
KEMPEN EURO CREDIT	NL0006477457	NL0006477457	AMS	KECF	EUR	43.35	391 600	0.05	16/07/09 10:00	16 975 860	null	43.35	43.35	16/07/09 10:00	43.35	16/07/09 10:00	9.25	43.35	16/07/09	37.87	18/03/09	3.24	43.35	16/07/09	37.87	18/03/09	-	-	-	-
LANSCHOT MS DEF	NL0000290468	NL0000290468	AMS	LANDE	EUR	21.31	2 700	1.09	16/07/09 10:00	57 537	null	21.31	21.31	16/07/09 10:00	21.31	16/07/09 10:00	0	22.21	07/05/09	20.27	10/03/09	-6.37	23.54	03/09/08	20.27	10/03/09	-	-	-	-
LANSCHOT MS GRO	NL0000290484	NL0000290484	AMS	LANGR	EUR	17.96	485	0.73	15/07/09 10:00	8 711	null	17.96	17.96	15/07/09 10:00	17.96	15/07/09 10:00	3.88	18.73	03/06/09	15.27	10/03/09	-14.07	22.34	03/09/08	15.27	10/03/09	-	-	-	-
LANSCHOT MS NEU	NL0000290476	NL0000290476	AMS	LANNE	EUR	19.91	1 500	0.66	15/07/09 10:00	29 865	null	19.91	19.91	15/07/09 10:00	19.91	15/07/09 10:00	2.73	20.74	08/06/09	17.73	10/03/09	-10.03	23.3	03/09/08	17.73	10/03/09	-	-	-	-
LANSCHOT MS OFF	NL0000290492	NL0000290492	AMS	LANOF	EUR	16.79	3 660	2.07	16/07/09 10:00	61 451	null	16.79	16.79	16/07/09 10:00	16.79	16/07/09 10:00	8.74	17.23	08/06/09	13.08	10/03/09	-15.88	21.58	03/09/08	13.08	10/03/09	-	-	-	-
MASTERMIX GL MIXF	NL0006057077	NL0006057077	AMS	EDEF	EUR	17.43	600	1.51	16/07/09 10:00	10 458	null	17.43	17.43	16/07/09 10:00	17.43	16/07/09 10:00	5	17.43	16/07/09	14.62	10/03/09	-9.55	20.31	18/08/08	14.62	10/03/09	-	-	-	-
MEI REAL ESTATE	NL0006311706	NL0006311706	AMS	MERE	EUR	28.86	0	-0.41	30/09/08 10:00	0	null	28.86	28.86	30/09/08 10:00	28.86	30/09/08 10:00	0	28.86	30/09/08 10:00	0	-	-2.80	29.9	22/07/08	28.66	09/09/08	-	-	-	-
MEI ROM EN BUL FD	NL0000287282	NL0000287282	AMS	RBF	EUR	6.64	6 029	1.07	16/07/09 10:00	40 033	null	6.64	6.64	16/07/09 10:00	6.64	16/07/09 10:00	-2.78	7.4	11/05/09	4.62	26/02/09	-71.05	22.76	08/08/08	4.62	26/02/09	-	-	-	-
MEI RUSLAND MID FO	NL0006033219	NL0006033219	AMS	RMF	EUR	8.55	6	-2.95	14/07/09 10:00	51	null	8.55	8.55	14/07/09 10:00	8.55	14/07/09 10:00	19.75	9.26	12/06/09	7.5	18/03/09	-54.35	18.5	18/07/08	7.09	30/12/08	-	-	-	-
MEI TSJECH SLOWAK	NL0000290575	NL0000290575	AMS	TSJEC	EUR	21.96	250	-1.92	15/07/09 10:00	5 490	null	21.96	21.96	15/07/09 10:00	21.96	15/07/09 10:00	-6.55	24.55	07/01/09	18.52	18/03/09	-43.75	39.8	18/07/08	18.52	18/03/09	-	-	-	-
OHRA AANDELEN FNDS	NL0000441871	NL0000441871	AMS	OHADF	EUR	11.3	4 763	1.89	16/07/09 10:00	53 822	null	11.3	11.3	16/07/09 10:00	11.3	16/07/09 10:00	14.03	11.87	12/06/09	9	10/03/09	-21.64	16.01	29/08/08	9	10/03/09	-	-	-	-
OHRA CARE FUND	NL0000441749	NL0000441749	AMS	OHCF	EUR	11.88	1 139	0.51	16/07/09 10:00	13 531	null	11.88	11.88	16/07/09 10:00	11.88	16/07/09 10:00	-0.5	13.39	17/02/09	10.99	23/03/09	-20.64	17.03	18/08/08	10.99	23/03/09	-	-	-	-
OHRA MILIEUTECHN	NL0000441731	NL0000441731	AMS	OHMT	EUR	11.66	2 003	2.73	16/07/09 10:00	23 355	null	11.66	11.66	16/07/09 10:00	11.66	16/07/09 10:00	9.18	12.56	12/06/09	8.93	10/03/09	-34.42	19.24	02/09/08	8.93	10/03/09	-	-	-	-
OHRA NW ENERGY FND	NL0000441897	NL0000441897	AMS	OHNEF	EUR	6.68	12 862	3.09	16/07/09 10:00	85 918	null	6.68	6.68	16/07/09 10:00	6.68	16/07/09 10:00	22.57	7.34	12/06/09	4.16	10/03/09	-38.26	11.99	01/09/08	4.16	10/03/09	-	-	-	-
OHRA OBL DIVIDEND	NL0000441673	NL0000441673	AMS	OHODF	EUR	30.81	570	-0.1	16/07/09 10:00	17 562	null	30.81	30.81	16/07/09 10:00	30.81	16/07/09 10:00	-0.29	31	12/01/09	29.63	24/04/09	6.83	31	12/01/09	28.37	24/07/08	-	-	-	-
OHRA ONR GOED FNDS	NL0000441681	NL0000441681	AMS	OHORG	EUR	39.12	641	1.8	16/07/09 10:00	25 076	null	39.12	39.12	16/07/09 10:00	39.12	16/07/09 10:00	1.98	42.53	07/01/09	28.36	09/03/09	-25.39	61.76	09/09/08	28.36	09/03/09	-	-	-	-
OHRA SPAARDIVIDEND	NL0000441723	NL0000441723	AMS	OHSD	EUR	20.59	304	0	16/07/09 10:00	6 259	null	20.59	20.59	16/07/09 10:00	20.59	16/07/09 10:00	-1.67	21.16	22/04/09	20.33	24/04/09	0.49	21.16	22/04/09	20.33	24/04/09	-	-	-	-
OHRA TECHN TRND FD	NL0006259657	NL0006259657	AMS	OHTT	EUR	6.83	3 504	3.17	16/07/09 10:00	23 932	null	6.83	6.83	16/07/09 10:00	6.83	16/07/09 10:00	42.29	6.83	16/07/09	4.82	10/03/09	3.33	7.73	18/08/08	4.6	21/11/08	-	-	-	-
OHRA TOTAAL FONDS	NL0000441699	NL0000441699	AMS	OHTF	EUR	20.08	636	1.16	16/07/09 10:00	12 771	null	20.08	20.08	16/07/09 10:00	20.08	16/07/09 10:00	7.55	20.36	12/06/09	17.52	10/03/09	-7.76	23.26	29/08/08	17.52	10/03/09	-	-	-	-
OPTIMIX AMERICA FD	NL0000287118	NL0000287118	AMS	OPTAF	EUR	5.79	39	2.66	16/07/09 10:00	226	null	5.79	5.79	16/07/09 10:00	5.79	16/07/09 10:00	7.02	6.15	07/05/09	4.99	10/03/09	1.94	6.2	05/11/08	4.95	21/11/08	-	-	-	-
OPTIMIX EMERG MKTS	NL0000287126	NL0000287126	AMS	OPEMF	EUR	39.05	600	3.01	16/07/09 10:00	23 430	null	39.05	39.05	16/07/09 10:00	39.05	16/07/09 10:00	40.87	40.25	02/06/09	26.49	03/03/09	-0.48	41.65	12/08/08	25.87	21/11/08	-	-	-	-
OPTIMIX EUROP-FD D	NL0000287092	NL0000287092	AMS	OPTEF	EUR	72.19	20 244	1.28	16/07/09 10:00	1 461 414	null	72.19	72.19	16/07/09 10:00	72.19	16/07/09 10:00	0.61	76.31	07/01/09	64.27	10/03/09	-24.87	101.01	12/08/08	64.27	10/03/09	-	-	-	-
OPTIMIX INCOM FD C	NL0000287084	NL0000287084	AMS	OPTIN	EUR	31.52	2 440	0.03	16/07/09 10:00	76 909	null	31.52	31.52	16/07/09 10:00	31.52	16/07/09 10:00	0.29	3 039	27/04/09	30.33	24/04/09	-5.37	3 039	27/04/09	30.33	24/04/09	-	-	-	-
OPTIMIX MIX FD   E	NL0000287100	NL0000287100	AMS	OPTMF	EUR	21.85	207	0.97	16/07/09 10:00	4 523	null	21.85	21.85	16/07/09 10:00	21.85	16/07/09 10:00	-10.45	24.75	16/01/09	21.49	13/07/09	-22.44	28.44	12/08/08	21.49	13/07/09	-	-	-	-
ORANGE EUR HDIV FD	NL0000293348	NL0000293348	AMS	OEHDF	EUR	4.57	640 966	2.7	16/07/09 10:00	2 929 215	null	4.57	4.57	16/07/09 10:00	4.57	16/07/09 10:00	3.39	4.78	03/06/09	3.66	10/03/09	-29.48	6.96	12/08/08	3.66	10/03/09	-	-	-	-
ORANGE EUR PROP FD	NL0000289635	NL0000289635	AMS	OREPF	EUR	10.44	847	3.16	16/07/09 10:00	8 843	null	10.44	10.44	16/07/09 10:00	10.44	16/07/09 10:00	9.32	11.18	08/01/09	6.12	10/03/09	-32.73	17.75	13/08/08	6.12	10/03/09	-	-	-	-
ORANGE EUR SMLCAP	NL0000288504	NL0000288504	AMS	OESC	EUR	17.5	146 641	2.82	16/07/09 10:00	2 566 218	null	17.5	17.5	16/07/09 10:00	17.5	16/07/09 10:00	21.36	17.91	12/06/09	12.77	10/03/09	-25.05	25.29	01/09/08	12.77	10/03/09	-	-	-	-
ORANGE FD	NL0000289627	NL0000289627	AMS	ORANG	EUR	32.36	893	2.02	16/07/09 10:00	28 897	null	32.36	32.36	16/07/09 10:00	32.36	16/07/09 10:00	17.2	33.79	15/06/09	23.47	10/03/09	-20.45	43.79	12/08/08	23.47	10/03/09	-	-	-	-
ORANGE GL BOND FND	NL0006311623	NL0006311623	AMS	LSGBA	EUR	53.48	4 184	-0.17	16/07/09 10:00	223 760	null	53.48	53.48	16/07/09 10:00	53.48	16/07/09 10:00	-0.98	55.31	14/05/09	51.38	17/03/09	4.72	55.31	14/05/09	50.43	22/07/08	-	-	-	-
ORANGE GL HI DIV F	NL0006089229	NL0006089229	AMS	OGHDF	EUR	16.13	400 210	1.9	16/07/09 10:00	6 455 387	null	16.13	16.13	16/07/09 10:00	16.13	16/07/09 10:00	5.15	16.58	07/01/09	12.81	10/03/09	-17.66	21.59	03/09/08	12.81	10/03/09	-	-	-	-
ORANGE ORANJE PART	NL0000440675	NL0000440675	AMS	ORAPT	EUR	52.08	216 519	29.52	01/07/09 10:00	11 276 310	null	52.08	52.08	01/07/09 10:00	52.08	01/07/09 10:00	-18.2	52.08	01/07/09	40.21	01/04/09	-28.90	63.67	01/10/08	40.21	01/04/09	-	-	-	-
ORANGE SENSE FUND	NL0000113082	NL0000113082	AMS	OSENS	EUR	15.85	4 116	2.52	16/07/09 10:00	65 239	null	15.85	15.85	16/07/09 10:00	15.85	16/07/09 10:00	4.83	16.55	12/06/09	11.66	10/03/09	-28.86	23.62	03/09/08	11.66	10/03/09	-	-	-	-
PHOENIX FUND	NL0006056491	NL0006056491	AMS	PHNXF	EUR	8.95	1 794	0	16/07/09 10:00	16 056	null	8.95	8.95	16/07/09 10:00	8.95	16/07/09 10:00	-23.63	12.15	09/01/09	8.62	11/05/09	-64.67	25.5	17/07/08	8.62	11/05/09	-	-	-	-
RB HG DIV ONR GOED	NL0000286995	NL0000286995	AMS	RBHOG	EUR	9.81	188	2.72	16/07/09 10:00	1 844	null	9.81	9.81	16/07/09 10:00	9.81	16/07/09 10:00	-4.66	11.17	07/01/09	7	10/03/09	-41.36	18.65	12/08/08	7	10/03/09	-	-	-	-
RO AFRIKA FONDS	NL0006238131	NL0006238131	AMS	RAFRI	EUR	76.64	421	1.4	16/07/09 10:00	32 265	null	76.64	76.64	16/07/09 10:00	76.64	16/07/09 10:00	39.19	78.15	02/07/09	50.3	10/03/09	-16.23	94.76	01/09/08	50.3	10/03/09	-	-	-	-
RO BALANCED MIX	NL0000289833	NL0000289833	AMS	ROBM	EUR	42.31	4 840	0.38	16/07/09 10:00	204 780	null	42.31	42.31	16/07/09 10:00	42.31	16/07/09 10:00	0.83	43.93	07/01/09	37.46	10/03/09	-9.11	48.98	03/09/08	37.46	10/03/09	-	-	-	-
RO COMMODITY FUND	NL0000290708	NL0000290708	AMS	ROCOM	EUR	19.96	17 227	1.42	16/07/09 10:00	343 851	null	19.96	19.96	16/07/09 10:00	19.96	16/07/09 10:00	8.66	21.66	12/06/09	17.81	03/03/09	-43.20	34.6	16/07/08	17.58	08/12/08	-	-	-	-
RO DIVIRENTE A	NL0000290005	NL0000290005	AMS	RODIV	EUR	18.56	2 626	0.05	16/07/09 10:00	48 739	null	18.56	18.56	16/07/09 10:00	18.56	16/07/09 10:00	-0.27	18.68	20/01/09	17.94	16/04/09	-12.29	21.16	18/07/08	17.94	16/04/09	-	-	-	-
RO DUURZAAM AAND A	NL0000288843	NL0000288843	AMS	RODZM	EUR	30.67	782	2.37	16/07/09 10:00	23 984	null	30.67	30.67	16/07/09 10:00	30.67	16/07/09 10:00	4.64	31.85	07/01/09	25	10/03/09	-21.44	41.77	01/09/08	25	10/03/09	-	-	-	-
RO DYNAMIC MIX	NL0000289825	NL0000289825	AMS	RODYM	EUR	27.34	1 163	1.98	16/07/09 10:00	31 796	null	27.34	27.34	16/07/09 10:00	27.34	16/07/09 10:00	2.9	29.04	07/01/09	21.77	10/03/09	-23.48	38.56	12/08/08	21.77	10/03/09	-	-	-	-
RO EURO OBL DIV B	NL0000290054	NL0000290054	AMS	ROEOD	EUR	23.53	14 168	-0.13	16/07/09 10:00	333 373	null	23.53	23.53	16/07/09 10:00	23.53	16/07/09 10:00	1.77	23.64	14/07/09	22.71	19/03/09	2.71	23.95	27/11/08	22.58	23/09/08	-	-	-	-
RO HIGH YIELD OBL	NL0000290062	NL0000290062	AMS	ROHYO	EUR	20.16	36 949	2.23	16/07/09 10:00	744 892	null	20.16	20.16	16/07/09 10:00	20.16	16/07/09 10:00	31.51	20.16	16/07/09	15.13	11/03/09	-8.45	22.47	19/08/08	14.66	15/12/08	-	-	-	-
RO HOLLANDS BEZIT	NL0000286615	NL0000286615	AMS	ROHOL	EUR	15.96	1 878	2.18	16/07/09 10:00	29 973	null	15.96	15.96	16/07/09 10:00	15.96	16/07/09 10:00	3.3	17.72	21/05/09	12.86	09/03/09	-31.47	25.26	03/09/08	12.86	09/03/09	-	-	-	-
RO LIFE CYCLE A 12	NL0006227233	NL0006227233	AMS	RLCA	EUR	41.38	2	-0.48	14/07/09 10:00	83	null	41.38	41.38	14/07/09 10:00	41.38	14/07/09 10:00	-5.37	41.58	02/07/09	37.36	10/03/09	-13.74	48.61	12/08/08	37.36	10/03/09	-	-	-	-
RO LIFE CYCLE B 15	NL0006227241	NL0006227241	AMS	RLCB	EUR	35.38	1	0.77	13/03/09 10:00	35	null	35.38	35.38	13/03/09 10:00	35.38	13/03/09 10:00	-11.42	35.38	13/03/09	34.37	10/03/09	-25.23	48.19	12/08/08	34.37	10/03/09	-	-	-	-
RO LIFE CYCLE C 20	NL0006227258	NL0006227258	AMS	RLCC	EUR	30.05	1	-0.6	12/03/09 10:00	30	null	30.05	30.05	12/03/09 10:00	30.05	12/03/09 10:00	-23.09	30.23	11/03/09	29.36	10/03/09	-34.90	47.37	12/08/08	29.36	10/03/09	-	-	-	-
RO LIFE CYCLE D 25	NL0006227266	NL0006227266	AMS	RLCD	EUR	33.65	253	-0.85	08/07/09 10:00	8 513	null	33.65	33.65	08/07/09 10:00	33.65	08/07/09 10:00	-11.31	34.69	05/01/09	27.7	10/03/09	-26.51	47.07	12/08/08	27.7	10/03/09	-	-	-	-
RO LIFE CYCLE E 30	NL0006227274	NL0006227274	AMS	RLCE	EUR	31.18	55	18.74	08/07/09 10:00	1 715	null	31.18	31.18	08/07/09 10:00	31.18	08/07/09 10:00	-13.6	31.18	08/07/09	24.65	10/03/09	-31.28	46.74	12/08/08	24.65	10/03/09	-	-	-	-
RO LIFE CYCLE F 35	NL0006227282	NL0006227282	AMS	RLCF	EUR	31.44	143	-1.63	08/07/09 10:00	4 496	null	31.44	31.44	08/07/09 10:00	31.44	08/07/09 10:00	7.16	32.87	09/06/09	24	10/03/09	-30.57	46.5	12/08/08	24	10/03/09	-	-	-	-
RO LIFE CYCLE G 40	NL0006227290	NL0006227290	AMS	RLCG	EUR	29.56	2	16.15	16/04/09 10:00	59	null	29.56	29.56	16/04/09 10:00	29.56	16/04/09 10:00	1.23	31.88	05/01/09	24.54	06/03/09	-34.72	46.51	12/08/08	24.54	06/03/09	-	-	-	-
RO YOUNG DYN	NL0000288801	NL0000288801	AMS	ROYDY	EUR	8.13	669	2.26	16/07/09 10:00	5 439	null	8.13	8.13	16/07/09 10:00	8.13	16/07/09 10:00	10.31	8.54	07/05/09	6.13	10/03/09	-22.65	11.7	12/08/08	6.13	10/03/09	-	-	-	-
ROBECO	NL0000289783	NL0000289783	AMS	ROBA	EUR	16.72	17 133	2.45	16/07/09 10:00	286 464	null	16.72	16.72	16/07/09 10:00	16.72	16/07/09 10:00	4.57	17.6	07/01/09	13.21	10/03/09	-21.87	23.51	03/09/08	13.21	10/03/09	-	-	-	-
ROBECO GROWTH MIX	NL0000288660	NL0000288660	AMS	ROGMX	EUR	38.17	4 394	1.49	16/07/09 10:00	167 719	null	38.17	38.17	16/07/09 10:00	38.17	16/07/09 10:00	3.16	39.98	07/01/09	31.48	10/03/09	-16.33	48.86	03/09/08	31.48	10/03/09	-	-	-	-
ROBECO SAFE MIX	NL0000288629	NL0000288629	AMS	ROSMX	EUR	44.73	4 292	-0.18	16/07/09 10:00	191 981	null	44.73	44.73	16/07/09 10:00	44.73	16/07/09 10:00	-0.38	45.19	06/01/09	43.53	05/03/09	1.73	45.19	06/01/09	43	16/10/08	-	-	-	-
ROBECO SOLID MIX	NL0000288645	NL0000288645	AMS	ROSLX	EUR	40.82	2 004	0.44	16/07/09 10:00	81 803	null	40.82	40.82	16/07/09 10:00	40.82	16/07/09 10:00	0.12	42.06	07/01/09	37.68	10/03/09	-5.05	44.56	09/09/08	37.68	10/03/09	-	-	-	-
ROLINCO	NL0000289817	NL0000289817	AMS	ROLA	EUR	14.22	6 654	2.38	16/07/09 10:00	94 620	null	14.22	14.22	16/07/09 10:00	14.22	16/07/09 10:00	9.64	14.66	15/06/09	11.23	10/03/09	-23.92	19.74	29/08/08	11.23	10/03/09	-	-	-	-
RORENTO	ANN757371433	NSCNL0122107	AMS	RORA	EUR	42.6	9 354	-0.23	16/07/09 10:00	398 480	null	42.6	42.6	16/07/09 10:00	42.6	16/07/09 10:00	-1.3	43.32	15/01/09	40.65	06/04/09	-1.18	44.05	10/09/08	40.65	06/04/09	-	-	-	-
SNS AMERIK AAND FD	NL0000291136	NL0000291136	AMS	SNSAM	EUR	9.55	436	2.03	16/07/09 10:00	4 164	null	9.55	9.55	16/07/09 10:00	9.55	16/07/09 10:00	6.7	9.98	07/01/09	7.91	10/03/09	-11.90	12.54	12/09/08	7.91	10/03/09	-	-	-	-
SNS AZIE AAND FNDS	NL0000291128	NL0000291128	AMS	SNSAZ	EUR	13.67	72	-0.22	16/07/09 10:00	984	null	13.67	13.67	16/07/09 10:00	13.67	16/07/09 10:00	10.06	14.19	11/06/09	11.04	09/03/09	-9.17	16.12	24/07/08	11.04	09/03/09	-	-	-	-
SNS DUURZAAM AANDF	NL0000291110	NL0000291110	AMS	SNSDA	EUR	14.41	19 082	1.41	15/07/09 10:00	274 972	null	14.41	14.41	15/07/09 10:00	14.41	15/07/09 10:00	2.05	15.32	07/01/09	11.43	10/03/09	-25.53	20.6	12/08/08	11.43	10/03/09	-	-	-	-
SNS EURO AAND FNDS	NL0000291086	NL0000291086	AMS	SNEAF	EUR	16.96	2 748	2.73	16/07/09 10:00	46 606	null	16.96	16.96	16/07/09 10:00	16.96	16/07/09 10:00	5.15	17.59	07/01/09	13.1	10/03/09	-23.64	23.62	12/08/08	13.1	10/03/09	-	-	-	-
SNS EURO LIQ FONDS	NL0000291011	NL0000291011	AMS	SNSGD	EUR	22.62	165	0	16/07/09 10:00	3 732	null	22.62	22.62	16/07/09 10:00	22.62	16/07/09 10:00	-1.22	23.13	20/04/09	22.41	24/04/09	0.22	23.13	20/04/09	22.41	24/04/09	-	-	-	-
SNS EURO MIX FONDS	NL0000291094	NL0000291094	AMS	SNEMF	EUR	22.14	7 435	1.47	16/07/09 10:00	164 611	null	22.14	22.14	16/07/09 10:00	22.14	16/07/09 10:00	2.74	22.4	07/01/09	19.42	10/03/09	-9.00	25.25	03/09/08	19.42	10/03/09	-	-	-	-
SNS EURO OBLIGFNDS	NL0000291060	NL0000291060	AMS	SEODF	EUR	24.59	3 245	-0.12	16/07/09 10:00	79 795	null	24.59	24.59	16/07/09 10:00	24.59	16/07/09 10:00	-1.05	24.91	05/01/09	24	08/06/09	4.68	24.93	29/12/08	23.26	24/07/08	-	-	-	-
SNS EURO VASTGOED	NL0000291151	NL0000291151	AMS	SNEVG	EUR	24.47	267	2.43	16/07/09 10:00	6 533	null	24.47	24.47	16/07/09 10:00	24.47	16/07/09 10:00	4.62	27.23	07/01/09	16.36	10/03/09	-30.58	40.04	13/08/08	16.36	10/03/09	-	-	-	-
SNS HOOGDIV AANDFD	NL0000291102	NL0000291102	AMS	SSPAF	EUR	13.96	116	2.87	16/07/09 10:00	1 619	null	13.96	13.96	16/07/09 10:00	13.96	16/07/09 10:00	-5.93	15.59	07/01/09	11.08	10/03/09	-25.27	20.08	12/08/08	11.08	10/03/09	-	-	-	-
