PB-BEL F  ,PBF,0
ROBECO    ,ROBECO,0
RODAMCO   ,RODAMCO,0
ROLINCO   ,ROLINCO,0
ROLINCO   ,RZROLINCO,0
RG EMERG  ,RZEMF,0
RG HOL BEZ,RZHB,0
POSTBK BF ,PBF,0
POSTBK AF ,PAF,0
POSTBK OF ,POF,0
POSTBK VF ,PVF,0
RG AMERIC ,AMERICA,0
RG PACIFI ,PACIFIC,0
AHOLD     ,AHOLD,0
KPN       ,KPN,0
DORDT PET ,DORDTPET,0
ING       ,ING,0
Adam Excha,AEX,0
Adam Excha,FISCALERT, 1, 737.46
OHRA AAND.,OAF,0
OHRA AAND ,OAF,0
OHRA OBLDF,ODF,0
OHRA TOTAL,OTF,0
ASN AANDF ,ABF,0
